periodo,entidad,proporcion_pob_mex,poblacion_pob_mex,poblacion_total
2008,Aguascalientes,37.6361553591112,435.328,1156.675
2008,"Baja California",25.9636223716803,809.721,3118.675
2008,"Baja California Sur",21.3613141194529,130.536,611.086
2008,Campeche,45.8578354246155,373.07,813.536
2008,"Coahuila de Zaragoza",32.7164392557676,885.776,2707.434
2008,Colima,27.4104045329182,173.427,632.705
2008,Chiapas,77.0115978613339,3682.298,4781.485
2008,Chihuahua,32.0712986384315,1105.091,3445.732
2008,"Ciudad de México",27.6132918874582,2465.656,8929.236
2008,Durango,48.4378356708521,791.404,1633.855
2008,Guanajuato,44.058458288034,2403.555,5455.377
2008,Guerrero,68.4431824854304,2319.599,3389.087
2008,Hidalgo,55.1817868372829,1443.603,2616.086
2008,Jalisco,36.6930090950356,2657.096,7241.423
2008,México,43.5656315430626,6578.186,15099.485
2008,"Michoacán de Ocampo",55.4725331154167,2411.178,4346.616
2008,Morelos,48.8263771500667,857.586,1756.399
2008,Nayarit,41.7458370345304,444.111,1063.845
2008,"Nuevo León",21.3654000065218,976.252,4569.313
2008,Oaxaca,61.8033808469075,2354.448,3809.578
2008,Puebla,64.5515296596603,3705.618,5740.558
2008,Querétaro,35.2144296428971,629.141,1786.6
2008,"Quintana Roo",33.6905696843026,428.131,1270.774
2008,"San Luis Potosí",50.9351563982597,1304.43,2560.962
2008,Sinaloa,32.3935490401788,905.619,2795.677
2008,Sonora,27.1169612209583,716.925,2643.825
2008,Tabasco,53.8244347368297,1188.014,2207.202
2008,Tamaulipas,33.8406782273603,1097.707,3243.75
2008,Tlaxcala,59.5779682042468,687.749,1154.368
2008,"Veracruz de Ignacio de la Llave",51.1907365150444,3878.997,7577.537
2008,Yucatán,47.0269608847073,907.001,1928.683
2008,Zacatecas,50.1315691717491,742.243,1480.59
