periodo,entidad,proporcion_pob_mex,poblacion_pob_mex,poblacion_total
2018,Aguascalientes,26.1829587207384,351.529,1342.587
2018,"Baja California",23.256853674609,848.437,3648.116
2018,"Baja California Sur",18.0715157650281,151.742,839.675
2018,Campeche,46.2493659946297,440.423,952.279
2018,"Coahuila de Zaragoza",22.4866138519668,691.129,3073.513
2018,Colima,30.8685968819599,235.62,763.3
2018,Chiapas,76.4110319288084,4174.596,5463.342
2018,Chihuahua,26.2807299941467,1005.732,3826.88
2018,"Ciudad de México",30.5504357832511,2682.73,8781.315
2018,Durango,37.3497588892428,680.042,1820.74
2018,Guanajuato,43.3838538614122,2587.833,5964.968
2018,Guerrero,66.4694882822747,2412.199,3629.032
2018,Hidalgo,43.8451554909319,1311.103,2990.303
2018,Jalisco,28.4291723962386,2337.643,8222.691
2018,México,42.7160038623905,7546.542,17666.779
2018,"Michoacán de Ocampo",46.0445153620297,2161.918,4695.278
2018,Morelos,50.8155674671649,1013.33,1994.133
2018,Nayarit,34.7704262394685,450.954,1296.947
2018,"Nuevo León",14.5270489303274,773.028,5321.301
2018,Oaxaca,66.3516221910456,2714.697,4091.38
2018,Puebla,58.916717607859,3763.65,6388.085
2018,Querétaro,27.5807865585338,579.199,2100.009
2018,"Quintana Roo",27.5654299658591,474.833,1722.567
2018,"San Luis Potosí",43.3991147145599,1229,2831.855
2018,Sinaloa,30.8784228220421,946.868,3066.439
2018,Sonora,28.1854810133238,863.029,3061.963
2018,Tabasco,53.6462942961101,1320.172,2460.882
2018,Tamaulipas,35.0702606085295,1287.895,3672.328
2018,Tlaxcala,48.3787495233379,645.761,1334.803
2018,"Veracruz de Ignacio de la Llave",61.7789219751042,5088.563,8236.73
2018,Yucatán,40.7980224324878,900.476,2207.156
2018,Zacatecas,46.7613186051119,755.214,1615.04
