periodo,entidad,proporcion_pob_mex,poblacion_pob_mex,poblacion_total
2010,Aguascalientes,38.130727388215,456.837,1198.081
2010,"Baja California",31.5201873293666,1019.795,3235.371
2010,"Baja California Sur",30.9946887627169,202.965,654.838
2010,Campeche,50.5049953270862,425.296,842.087
2010,"Coahuila de Zaragoza",27.8108837539381,775.932,2790.03
2010,Colima,34.6928444115657,230.263,663.719
2010,Chiapas,78.4833964099512,3866.315,4926.284
2010,Chihuahua,38.8065879599489,1371.575,3534.387
2010,"Ciudad de México",28.5441462199036,2537.155,8888.53
2010,Durango,51.5741621597104,864.155,1675.558
2010,Guanajuato,48.5122942135136,2703.742,5573.313
2010,Guerrero,67.5705711026861,2329.961,3448.189
2010,Hidalgo,54.6684550801751,1477.052,2701.836
2010,Jalisco,37.0497312250942,2766.652,7467.401
2010,México,42.8914144706068,6712.05,15648.936
2010,"Michoacán de Ocampo",54.7282230405544,2424.839,4430.692
2010,Morelos,43.2422436274155,782.167,1808.803
2010,Nayarit,41.3572990668535,461.241,1115.259
2010,"Nuevo León",21.017552476935,994.427,4731.412
2010,Oaxaca,66.9874147612412,2596.252,3875.731
2010,Puebla,61.4831035819454,3616.264,5881.72
2010,Querétaro,41.4106303980339,766.999,1852.179
2010,"Quintana Roo",34.6268047563574,471.722,1362.303
2010,"San Luis Potosí",52.400585386893,1375.3,2624.589
2010,Sinaloa,36.6686982936082,1048.643,2859.777
2010,Sonora,33.1489151162267,905.154,2730.569
2010,Tabasco,57.0959800578831,1291.595,2262.147
2010,Tamaulipas,38.9511860126217,1301.698,3341.87
2010,Tlaxcala,60.3129024004563,718.969,1192.065
2010,"Veracruz de Ignacio de la Llave",57.5791221130264,4447.963,7724.958
2010,Yucatán,48.3206542862169,958.546,1983.719
2010,Zacatecas,60.2474684715649,911.496,1512.92
