id,entidad,proporcion_pob_mex_2008,proporcion_pob_mex_2009,proporcion_pob_mex_2010,proporcion_pob_mex_2011,proporcion_pob_mex_2012,proporcion_pob_mex_2013,proporcion_pob_mex_2014,proporcion_pob_mex_2015,proporcion_pob_mex_2016,proporcion_pob_mex_2017,proporcion_pob_mex_2018,poblacion_pob_mex_2008,poblacion_pob_mex_2009,poblacion_pob_mex_2010,poblacion_pob_mex_2011,poblacion_pob_mex_2012,poblacion_pob_mex_2013,poblacion_pob_mex_2014,poblacion_pob_mex_2015,poblacion_pob_mex_2016,poblacion_pob_mex_2017,poblacion_pob_mex_2018,poblacion_total_2008,poblacion_total_2009,poblacion_total_2010,poblacion_total_2011,poblacion_total_2012,poblacion_total_2013,poblacion_total_2014,poblacion_total_2015,poblacion_total_2016,poblacion_total_2017,poblacion_total_2018
21,Puebla,64.5515296596603,63.01731662080285,61.4831035819454,62.97672754472795,64.4703515075105,64.50368729858965,64.53702308966879,61.988590356172196,59.4401576226756,59.1784376152673,58.916717607859,3705.618,3660.941,3616.264,3747.19,3878.116,3918.464,3958.812,3843.507,3728.202,3745.9260000000004,3763.65,5740.558000000001,5811.139000000001,5881.72,5948.534000000001,6015.348000000001,6074.76,6134.172,6203.183,6272.194,6330.1395,6388.085
22,Queretaro,35.2144296428971,38.3125300204655,41.4106303980339,39.1638538768385,36.9170773556431,35.54618430793195,34.1752912602208,32.647253506843704,31.1192157534666,29.350001156000204,27.580786558533802,629.141,698.0699999999999,766.9989999999999,737.2189999999999,707.439,691.559,675.679,655.6795,635.68,607.4395,579.1990000000001,1786.6,1819.3894999999998,1852.1789999999999,1884.2355,1916.2920000000001,1946.6950000000002,1977.098,2009.9115,2042.725,2071.367,2100.009
23,Quintana Roo,33.6905696843026,34.15868722033,34.6268047563574,36.7100633425074,38.7933219286574,37.3377599549827,35.882197981307996,32.36451744861225,28.8468369159165,28.206133440887804,27.565429965859103,428.131,449.9265,471.722,517.5074999999999,563.293,558.154,553.015,512.0275,471.04,472.9365,474.833,1270.774,1316.5384999999999,1362.3029999999999,1407.1695,1452.036,1496.616,1541.1960000000001,1587.0480000000002,1632.9,1677.7335,1722.567
24,San Luis Potosi,50.93515639825971,51.66787089257635,52.400585386893,51.4666118928712,50.5326383988494,49.8170361258606,49.1014338528718,47.311045564174954,45.52065727547811,44.45988599501901,43.3991147145599,1304.43,1339.865,1375.3,1364.73,1354.16,1346.13,1338.1,1302.914,1267.728,1248.364,1229.0,2560.962,2592.7755,2624.5890000000004,2652.181,2679.7729999999997,2702.474,2725.175,2755.063,2784.9509999999996,2808.403,2831.855
25,Sinaloa,32.3935490401788,34.5311236668935,36.6686982936082,36.464532747252605,36.260367200897,37.814888555721055,39.3694099105451,35.0880234643459,30.806637018146702,30.842529920094403,30.878422822042104,905.6189999999999,977.131,1048.643,1052.1100000000001,1055.577,1111.3215,1167.066,1048.3745,929.683,938.2755,946.868,2795.677,2827.727,2859.777,2885.4405,2911.1040000000003,2937.751,2964.3979999999997,2991.0995,3017.801,3042.12,3066.4390000000003
26,Sonora,27.1169612209583,30.132938168592496,33.148915116226696,31.1343758958509,29.119836675475103,29.239029364319702,29.3582220531643,28.6109627900587,27.863703526953103,28.024592270138452,28.185481013323802,716.925,811.0395,905.154,863.2245,821.295,836.688,852.081,841.754,831.427,847.2280000000001,863.029,2643.825,2687.197,2730.5690000000004,2775.483,2820.397,2861.378,2902.3590000000004,2943.1330000000003,2983.907,3022.935,3061.9629999999997
27,Tabasco,53.8244347368297,55.4602073973564,57.095980057883104,53.392919700419,49.689859342954904,49.63025428219291,49.570649221430905,50.21121782499495,50.851786428558995,52.249040362334554,53.646294296110106,1188.014,1239.8045,1291.595,1220.4965000000002,1149.3980000000001,1159.5935,1169.789,1198.9405,1228.0919999999999,1274.132,1320.172,2207.202,2234.6745,2262.147,2287.6454999999996,2313.144,2336.493,2359.842,2387.442,2415.042,2437.962,2460.882
28,Tamaulipas,33.8406782273603,36.395932119991,38.951186012621704,38.655306382998454,38.3594267533752,38.1414933436803,37.9235599339854,35.042895706185504,32.1622314783856,33.61624604345755,35.0702606085295,1097.7069999999999,1199.7024999999999,1301.698,1308.661,1315.624,1323.1655,1330.707,1243.4635,1156.22,1222.0575,1287.895,3243.75,3292.81,3341.87,3385.799,3429.728,3469.3235000000004,3508.9190000000003,3551.9405,3594.962,3633.645,3672.328
29,Tlaxcala,59.5779682042468,59.94543530235155,60.312902400456295,59.096168388764795,57.879434377073295,58.403511459139295,58.9275885412053,56.43662529994555,53.9456620586858,51.16220579101184,48.378749523337895,687.7489999999999,703.3589999999999,718.9689999999999,715.4245,711.88,728.5084999999999,745.137,723.4469999999999,701.757,673.759,645.761,1154.368,1173.2165,1192.065,1211.0005,1229.9360000000001,1247.2160000000001,1264.496,1282.6775,1300.859,1317.831,1334.8029999999999
30,Veracruz,51.19073651504441,54.3849293140354,57.5791221130264,55.111709516222,52.6442969194176,55.3247374049477,58.0051778904778,60.08261168940165,62.1600454883255,61.969483731714845,61.7789219751042,3878.9970000000003,4163.48,4447.963,4294.861,4141.759,4387.999,4634.2390000000005,4841.875,5049.5109999999995,5069.037,5088.563,7577.536999999999,7651.2474999999995,7724.9580000000005,7796.199500000001,7867.441,7928.3975,7989.354,8056.378500000001,8123.403,8180.0665,8236.73
31,Yucatan,47.0269608847073,47.6738075854621,48.3206542862169,48.5885798685384,48.8565054508599,47.356505295531804,45.8565051402037,43.86408131055455,41.8716574809054,41.3348399566966,40.7980224324878,907.0010000000001,932.7735,958.546,977.71,996.8739999999999,977.391,957.908,929.886,901.8639999999999,901.1700000000001,900.4760000000001,1928.683,1956.201,1983.719,2012.0655000000002,2040.412,2064.6685,2088.925,2121.401,2153.877,2180.5164999999997,2207.156
32,Zacatecas,50.131569171749106,55.189518821657,60.24746847156489,57.2305794265647,54.213690381564504,53.2797420856824,52.345793789800304,50.67483438037685,49.0038749709534,47.88259678803264,46.761318605111896,742.243,826.8695,911.4960000000001,873.5065,835.5169999999999,827.6524999999999,819.788,800.031,780.2739999999999,767.7439999999999,755.2139999999999,1480.59,1496.755,1512.92,1527.0375,1541.155,1553.6280000000002,1566.101,1579.1855,1592.27,1603.655,1615.04
