estado_1,anio,miles_personas,porcen_pobla_carencia_acceso_servicios_salud,porcen_pobla_carencia_acceso_a_seguridad_social,porcen_pobla_carencia_acceso_a_alimentacion,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos
aguascalientes,2016,1309.930,12.100,40.400,17.200,9.600,38.800
baja_california,2016,3549.320,17.300,43.000,14.900,5.400,29.000
baja_california_sur,2016,793.830,12.500,40.000,19.200,6.100,28.600
campeche,2016,925.420,10.700,59.000,25.600,15.800,48.600
coahuila,2016,3005.810,12.800,30.600,16.100,8.800,37.800
colima,2016,739.450,11.900,47.700,21.100,8.000,40.600
chiapas,2016,5337.150,15.000,81.100,19.400,49.900,79.800
chihuahua,2016,3757.010,12.200,40.500,18.200,11.200,41.700
ciudad_mexico,2016,8821.850,19.600,47.000,11.500,7.500,34.400
durango,2016,1787.490,14.100,49.000,18.600,12.800,45.400
guanajuato,2016,5877.530,13.400,54.500,19.800,15.600,50.600
guerrero,2016,3593.870,13.300,73.900,27.800,35.200,67.600
hidalgo,2016,2921.430,14.400,72.100,24.500,18.200,55.300
jalisco,2016,8048.630,17.600,49.100,15.400,7.700,39.600
mexico,2016,17190.720,15.500,55.500,20.800,16.800,57.400
michoacan,2016,4636.710,22.800,68.900,25.900,21.000,60.100
morelos,2016,1949.460,15.000,62.100,19.500,16.400,57.500
nayarit,2016,1252.830,15.000,55.800,19.900,16.400,43.500
nuevo_leon,2016,5178.910,13.300,33.600,14.400,3.100,19.600
oaxaca,2016,4044.460,15.900,77.900,31.400,40.200,72.700
puebla,2016,6272.190,17.400,69.200,20.100,23.100,65.600
queretaro,2016,2042.730,13.200,48.400,13.400,10.000,40.100
quintana_roo,2016,1632.900,17.600,49.000,16.400,9.300,33.200
san_luis_potosi,2016,2784.950,9.100,55.600,20.100,20.400,53.500
sinaloa,2016,3017.800,12.200,44.700,22.700,8.700,38.200
sonora,2016,2983.910,14.700,41.200,21.000,7.500,36.100
tabasco,2016,2415.040,13.400,67.000,45.300,19.600,53.400
tamaulipas,2016,3594.960,12.800,42.300,19.200,12.100,42.300
tlaxcala,2016,1300.860,12.500,66.200,22.200,19.600,62.200
veracruz,2016,8123.400,19.400,68.000,22.200,30.600,67.100
yucatan,2016,2153.880,14.400,54.200,19.300,11.800,47.600
zacatecas,2016,1592.270,11.500,60.400,15.100,21.000,57.900
