CLAVE_ENTIDAD,ENTIDAD,SEXO,EDAD,DIAS_ACTIVIDAD_FISICA_VIGOROSA_EN_7_ULTIMOS_DIAS,DIAS_ACTIVIDAD_FISICA_MODERADA_EN_7_ULTIMOS_DIAS,DIAS_10_MIN_CAMINAR_EN_7_ULTIMOS_DIAS
1,AGUASCALIENTES,hombre,16,7,3,7
1,AGUASCALIENTES,mujer,19,2,5,7
1,AGUASCALIENTES,mujer,16,0,1,3
1,AGUASCALIENTES,mujer,19,0,0,7
1,AGUASCALIENTES,mujer,19,0,7,7
1,AGUASCALIENTES,hombre,18,7,2,7
1,AGUASCALIENTES,hombre,17,2,3,2
1,AGUASCALIENTES,mujer,17,0,7,0
1,AGUASCALIENTES,mujer,19,0,7,3
1,AGUASCALIENTES,mujer,16,0,0,7
1,AGUASCALIENTES,mujer,19,0,3,7
1,AGUASCALIENTES,mujer,15,1,0,4
1,AGUASCALIENTES,hombre,19,0,7,7
1,AGUASCALIENTES,mujer,16,1,0,2
1,AGUASCALIENTES,mujer,16,1,0,0
1,AGUASCALIENTES,mujer,15,0,2,7
1,AGUASCALIENTES,mujer,19,0,0,0
1,AGUASCALIENTES,mujer,16,0,0,7
1,AGUASCALIENTES,mujer,16,0,0,5
2,BAJA CALIFORNIA,mujer,17,0,4,7
2,BAJA CALIFORNIA,mujer,18,0,5,2
2,BAJA CALIFORNIA,mujer,18,5,0,2
2,BAJA CALIFORNIA,hombre,17,3,7,5
2,BAJA CALIFORNIA,mujer,17,7,7,7
2,BAJA CALIFORNIA,mujer,19,1,2,1
2,BAJA CALIFORNIA,mujer,18,0,0,7
2,BAJA CALIFORNIA,mujer,18,0,7,3
2,BAJA CALIFORNIA,hombre,16,0,4,7
2,BAJA CALIFORNIA,mujer,19,3,7,7
2,BAJA CALIFORNIA,hombre,15,0,2,7
2,BAJA CALIFORNIA,hombre,17,7,7,5
2,BAJA CALIFORNIA,mujer,18,0,7,0
2,BAJA CALIFORNIA,mujer,17,0,7,7
2,BAJA CALIFORNIA,mujer,15,4,7,7
2,BAJA CALIFORNIA,mujer,18,1,7,7
2,BAJA CALIFORNIA,hombre,16,6,7,6
2,BAJA CALIFORNIA,mujer,15,1,2,0
2,BAJA CALIFORNIA,mujer,16,0,7,0
2,BAJA CALIFORNIA,hombre,15,7,7,1
2,BAJA CALIFORNIA,hombre,16,6,4,2
2,BAJA CALIFORNIA,hombre,16,4,5,7
2,BAJA CALIFORNIA,mujer,18,0,3,7
