Id,Estado,porcentaje_de_la_poblacion_en_pobreza_2008,porcentaje_de_la_poblacion_en_pobreza_2009,porcentaje_de_la_poblacion_en_pobreza_2010,porcentaje_de_la_poblacion_en_pobreza_2011,porcentaje_de_la_poblacion_en_pobreza_2012,porcentaje_de_la_poblacion_en_pobreza_2013,porcentaje_de_la_poblacion_en_pobreza_2014,porcentaje_de_la_poblacion_en_pobreza_2015,porcentaje_de_la_poblacion_en_pobreza_2016,porcentaje_de_la_poblacion_en_pobreza_2017,porcentaje_de_la_poblacion_en_pobreza_2018,miles_de_personas_en_pobreza_2008,miles_de_personas_en_pobreza_2009,miles_de_personas_en_pobreza_2010,miles_de_personas_en_pobreza_2011,miles_de_personas_en_pobreza_2012,miles_de_personas_en_pobreza_2013,miles_de_personas_en_pobreza_2014,miles_de_personas_en_pobreza_2015,miles_de_personas_en_pobreza_2016,miles_de_personas_en_pobreza_2017,miles_de_personas_en_pobreza_2018,porcentaje_de_la_poblacion_en_pobreza_moderada_2008,porcentaje_de_la_poblacion_en_pobreza_moderada_2009,porcentaje_de_la_poblacion_en_pobreza_moderada_2010,porcentaje_de_la_poblacion_en_pobreza_moderada_2011,porcentaje_de_la_poblacion_en_pobreza_moderada_2012,porcentaje_de_la_poblacion_en_pobreza_moderada_2013,porcentaje_de_la_poblacion_en_pobreza_moderada_2014,porcentaje_de_la_poblacion_en_pobreza_moderada_2015,porcentaje_de_la_poblacion_en_pobreza_moderada_2016,porcentaje_de_la_poblacion_en_pobreza_moderada_2017,porcentaje_de_la_poblacion_en_pobreza_moderada_2018,miles_de_personas_en_pobreza_moderada_2008,miles_de_personas_en_pobreza_moderada_2009,miles_de_personas_en_pobreza_moderada_2010,miles_de_personas_en_pobreza_moderada_2011,miles_de_personas_en_pobreza_moderada_2012,miles_de_personas_en_pobreza_moderada_2013,miles_de_personas_en_pobreza_moderada_2014,miles_de_personas_en_pobreza_moderada_2015,miles_de_personas_en_pobreza_moderada_2016,miles_de_personas_en_pobreza_moderada_2017,miles_de_personas_en_pobreza_moderada_2018,porcentaje_de_la_poblacion_en_pobreza_extrema_2008,porcentaje_de_la_poblacion_en_pobreza_extrema_2009,porcentaje_de_la_poblacion_en_pobreza_extrema_2010,porcentaje_de_la_poblacion_en_pobreza_extrema_2011,porcentaje_de_la_poblacion_en_pobreza_extrema_2012,porcentaje_de_la_poblacion_en_pobreza_extrema_2013,porcentaje_de_la_poblacion_en_pobreza_extrema_2014,porcentaje_de_la_poblacion_en_pobreza_extrema_2015,porcentaje_de_la_poblacion_en_pobreza_extrema_2016,porcentaje_de_la_poblacion_en_pobreza_extrema_2017,porcentaje_de_la_poblacion_en_pobreza_extrema_2018,miles_de_personas_en_pobreza_extrema_2008,miles_de_personas_en_pobreza_extrema_2009,miles_de_personas_en_pobreza_extrema_2010,miles_de_personas_en_pobreza_extrema_2011,miles_de_personas_en_pobreza_extrema_2012,miles_de_personas_en_pobreza_extrema_2013,miles_de_personas_en_pobreza_extrema_2014,miles_de_personas_en_pobreza_extrema_2015,miles_de_personas_en_pobreza_extrema_2016,miles_de_personas_en_pobreza_extrema_2017,miles_de_personas_en_pobreza_extrema_2018
11,Guanajuato,44.1,46.3,48.5,46.5,44.5,45.55,46.6,44.5,42.4,42.9,43.4,2403.56,2553.6499999999996,2703.74,2614.795,2525.85,2604.565,2683.28,2586.5,2489.72,2538.7749999999996,2587.83,36.2,38.150000000000006,40.1,38.85,37.6,39.3,41.0,39.5,38.0,38.55,39.1,1972.77,2103.51,2234.25,2184.125,2134.0,2249.8450000000003,2365.69,2298.915,2232.14,2283.355,2334.57,7.9,8.15,8.4,7.65,6.9,6.2,5.5,4.95,4.4,4.300000000000001,4.2,430.79,450.145,469.5,430.675,391.85,354.725,317.6,287.59000000000003,257.58,255.42,253.26
12,Guerrero,68.4,68.0,67.6,68.65,69.7,67.45,65.2,64.80000000000001,64.4,65.45,66.5,2319.6,2324.7799999999997,2329.96,2386.4300000000003,2442.9,2379.16,2315.42,2315.0699999999997,2314.72,2363.46,2412.2,36.0,35.85,35.7,36.85,38.0,39.4,40.8,41.099999999999994,41.4,40.55,39.7,1221.36,1226.885,1232.41,1281.9,1331.39,1389.3400000000001,1447.29,1468.4,1489.51,1465.135,1440.76,32.4,32.1,31.8,31.75,31.7,28.1,24.5,23.75,23.0,24.9,26.8,1098.24,1097.9,1097.56,1104.5349999999999,1111.51,989.8199999999999,868.13,846.6700000000001,825.21,898.325,971.44
13,Hidalgo,55.2,54.95,54.7,53.75,52.8,53.55,54.3,52.45,50.6,47.2,43.8,1443.6,1460.3249999999998,1477.05,1471.48,1465.91,1506.8600000000001,1547.81,1513.3249999999998,1478.84,1394.9699999999998,1311.1,39.8,40.5,41.2,42.0,42.8,42.4,42.0,42.3,42.6,40.2,37.8,1042.35,1077.705,1113.06,1151.125,1189.19,1193.275,1197.36,1220.9699999999998,1244.58,1187.105,1129.63,15.3,14.4,13.5,11.75,10.0,11.15,12.3,10.15,8.0,7.05,6.1,401.26,382.63,364.0,320.355,276.71,313.585,350.46,292.36,234.26,207.865,181.47
14,Jalisco,36.7,36.85,37.0,38.4,39.8,37.599999999999994,35.4,33.6,31.8,30.1,28.4,2657.1,2711.875,2766.65,2908.8199999999997,3050.99,2915.6049999999996,2780.22,2670.4049999999997,2560.59,2449.115,2337.64,32.3,32.05,31.8,32.9,34.0,33.05,32.1,31.05,30.0,27.75,25.5,2336.05,2355.155,2374.26,2489.535,2604.81,2565.9049999999997,2527.0,2471.355,2415.71,2254.415,2093.12,4.4,4.85,5.3,5.55,5.8,4.5,3.2,2.5,1.8,2.4,3.0,321.04,356.71500000000003,392.39,419.28499999999997,446.18,349.705,253.23,199.055,144.88,194.7,244.52
15,Mexico,43.6,43.25,42.9,44.099999999999994,45.3,47.45,49.6,48.75,47.9,45.3,42.7,6578.19,6645.12,6712.05,7020.395,7328.74,7799.295,8269.85,8250.025000000001,8230.2,7888.370000000001,7546.54,36.6,35.45,34.3,36.9,39.5,40.95,42.4,42.05,41.7,39.75,37.8,5531.7,5451.264999999999,5370.83,5876.95,6383.07,6723.035,7063.0,7118.12,7173.24,6927.014999999999,6680.79,6.9,7.75,8.6,7.199999999999999,5.8,6.5,7.2,6.65,6.1,5.5,4.9,1046.48,1193.85,1341.22,1143.445,945.67,1076.26,1206.85,1131.905,1056.96,961.355,865.75
16,Michoacan,55.5,55.1,54.7,54.55,54.4,56.8,59.2,57.25,55.3,50.65,46.0,2411.18,2418.01,2424.84,2436.2650000000003,2447.69,2578.16,2708.63,2637.245,2565.86,2363.8900000000003,2161.92,40.1,40.650000000000006,41.2,40.55,39.9,42.55,45.2,45.55,45.9,42.95,40.0,1742.28,1784.58,1826.88,1812.115,1797.35,1932.065,2066.78,2098.65,2130.52,2004.045,1877.57,15.4,14.45,13.5,13.95,14.4,14.2,14.0,11.7,9.4,7.75,6.1,668.9,633.4300000000001,597.96,624.155,650.35,646.1,641.85,538.595,435.34,359.845,284.35
17,Morelos,48.8,46.0,43.2,44.35,45.5,48.9,52.3,50.9,49.5,50.15,50.8,857.59,819.88,782.17,812.835,843.5,918.615,993.73,979.79,965.85,989.59,1013.33,40.1,38.2,36.3,37.7,39.1,41.75,44.4,44.0,43.6,43.5,43.4,704.49,680.615,656.74,691.53,726.32,785.3900000000001,844.46,847.465,850.47,858.415,866.36,8.7,7.8,6.9,6.6,6.3,7.1,7.9,6.9,5.9,6.65,7.4,153.1,139.265,125.43,121.30000000000001,117.17,133.22,149.27,132.325,115.38,131.175,146.97
18,Nayarit,41.7,41.55,41.4,44.5,47.6,44.05,40.5,39.0,37.5,36.15,34.8,444.11,452.675,461.24,507.395,553.55,521.1899999999999,488.83,479.48,470.13,460.53999999999996,450.95,35.5,34.25,33.0,34.35,35.7,33.85,32.0,30.8,29.6,29.25,28.9,377.93,373.245,368.56,391.71000000000004,414.86,400.775,386.69,378.735,370.78,372.745,374.71,6.2,7.25,8.3,10.100000000000001,11.9,10.2,8.5,8.2,7.9,6.9,5.9,66.18,79.43,92.68,115.685,138.69,120.41499999999999,102.14,100.745,99.35,87.8,76.25
19,Nuevo Leon,21.4,21.2,21.0,22.1,23.2,21.799999999999997,20.4,17.299999999999997,14.2,14.35,14.5,976.25,985.3399999999999,994.43,1063.6499999999999,1132.87,1077.8,1022.73,880.25,737.77,755.4,773.03,18.8,19.0,19.2,20.0,20.8,19.9,19.0,16.3,13.6,13.85,14.1,857.54,882.79,908.04,961.69,1015.34,985.6800000000001,956.02,831.145,706.27,727.035,747.8,2.6,2.2,1.8,2.1,2.4,1.85,1.3,0.95,0.6,0.55,0.5,118.71,102.55,86.39,101.96000000000001,117.53,92.12,66.71,49.099999999999994,31.49,28.36,25.23
20,Oaxaca,61.8,64.4,67.0,64.45,61.9,64.35,66.8,68.6,70.4,68.4,66.4,2354.45,2475.35,2596.25,2515.425,2434.6,2548.675,2662.75,2755.045,2847.34,2781.02,2714.7,33.5,35.6,37.7,38.150000000000006,38.6,38.5,38.4,40.95,43.5,43.3,43.1,1275.5,1369.1399999999999,1462.78,1490.395,1518.01,1525.23,1532.45,1646.3200000000002,1760.19,1761.52,1762.85,28.3,28.75,29.2,26.25,23.3,25.8,28.3,27.6,26.9,25.1,23.3,1078.95,1106.21,1133.47,1025.03,916.59,1023.4449999999999,1130.3,1108.73,1087.16,1019.5050000000001,951.85
