Id,Estado,Anio,DIA_ING_MU_20_59,DIA_ING_MU_60_MAS,DIA_ING_HO_20_59,DIA_ING_HO_60_MAS,DIA_TRA_MU_20_59,DIA_TRA_MU_60_MAS,DIA_TRA_HO_20_59,DIA_TRA_HO_60_MAS,DIA_CON_MU_20_59,DIA_CON_MU_60_MAS,DIA_CON_HO_20_59,DIA_CON_MU_60_MAS,OBE_ING_MU_20_59,OBE_ING_MU_60_MAS,OBE_ING_HO_20_59,OBE_ING_HO_60_MAS,OBE_TRA_MU_20_59,OBE_TRA_MU_60_MAS,OBE_TRA_HO_20_59,OBE_TRA_HO_60_MAS,OBE_CON_MU_20_59,OBE_CON_MU_60_MAS,OBE_CON_HO_20_59,OBE_CON_MU_60_MAS
23,Quintana Roo,2014,551,119,310,100,49625,21318,17936,10482,17222,7922,6144,4041,768,100,315,100,43043,13602,12489,13602,13045,4344,3731,1888
24,San Luis Potosi,2014,1258,344,713,275,134731,77327,60340,42483,60225,38707,26061,20767,1717,307,593,307,118873,45104,39432,45104,41627,17192,13733,8137
25,Sinaloa,2014,2496,1184,1416,987,82652,55706,43071,38133,32697,23286,14045,14456,17422,2271,5975,2271,535836,81474,182782,81474,67067,13558,17452,6852
26,Sonora,2014,1194,352,547,286,56584,32274,24358,18343,22450,12916,9290,7385,3012,466,870,466,64616,19537,17841,19537,17153,5497,4206,2635
27,Tabasco,2014,1454,305,672,210,165086,67096,61131,32133,81581,34794,29798,15021,1455,170,638,170,83054,20132,32173,20132,26239,7536,10324,3643
28,Tamaulipas,2014,1989,712,1112,530,148103,77375,70857,47291,92658,50836,44006,29622,1617,379,643,379,120534,52545,46227,52545,68280,27978,25794,17096
29,Tlaxcala,2014,582,164,323,141,64123,42658,30663,22674,37403,25623,17190,13270,438,120,299,120,51625,22611,23303,22611,21655,10507,9683,4580
30,Veracruz,2014,3940,1222,1637,703,333498,181166,110635,73122,94797,58889,33765,24825,2346,531,701,531,141648,54030,37130,54030,21644,9332,6641,3625
31,Yucatan,2014,571,168,292,117,74674,41968,26965,17700,32207,20219,11998,8422,947,186,352,186,72561,24463,26382,24463,21950,9019,7677,4297
32,Zacatecas,2014,723,307,406,256,63979,46396,29995,25514,27810,22809,12807,12012,1211,361,450,361,86086,40363,26282,40363,26739,14227,9298,6597
1,Aguascalientes,2015,732,322,404,185,43869,23151,19733,11199,14269,8976,6012,3798,804,304,385,304,44518,17601,12843,17601,7540,3980,2135,1209
2,Baja California,2015,1784,677,1103,527,91968,51228,49178,32475,28430,17874,14905,11284,1754,427,676,427,83041,33722,28237,33722,16364,7230,5417,3482
3,Baja California Sur,2015,426,55,278,73,22584,8726,12332,6546,7298,3085,3443,2263,515,42,201,42,25710,8090,8718,8090,4802,1971,1688,939
4,Campeche,2015,406,103,192,72,39766,18332,13333,8262,15186,7792,5193,3499,426,76,189,76,27623,9139,10242,9139,7339,2594,2738,1210
5,Chiapas,2015,2506,920,994,473,153524,73558,47332,36305,42826,22202,13294,8638,1421,292,431,292,75583,22455,18757,22455,9800,3207,2195,1174
6,Chihuahua,2015,1512,604,841,437,100602,57402,50281,36501,43769,28351,21251,18097,2142,540,829,540,111576,40721,31433,40721,28242,11329,7462,5313
7,Ciudad De Mexico,2015,3707,2137,3343,1542,241785,158372,132701,80891,87419,68561,48231,34096,4323,860,1454,860,188463,73747,66145,73747,41531,20017,17293,7149
8,Coahuila,2015,399,148,168,97,22497,13019,7020,5952,7065,5034,2501,2331,441,97,96,97,18745,8030,4057,8030,3691,1931,1039,724
9,Colima,2015,280,99,180,82,22652,16198,11861,9957,9601,8011,4485,4875,360,100,183,100,18315,9598,6758,9598,4749,3050,1928,1270
10,Durango,2015,497,170,241,140,35996,20694,16345,14124,16074,9953,7076,6726,705,126,205,126,50343,15092,14135,15092,15162,4300,3496,1942
11,Guanajuato,2015,3031,997,1529,843,378075,287960,161551,143475,209651,180466,89106,88211,2761,907,1084,907,394070,257158,122030,257158,186960,136797,57767,51318
12,Guerrero,2015,2365,823,1246,568,253583,146902,98271,67473,86763,56455,33694,25156,2305,469,836,469,203983,60872,53511,60872,40105,14355,10567,5257
13,Hidalgo,2015,1438,787,616,420,125312,98586,45497,39086,41777,40066,15472,15415,1335,410,475,410,90125,51552,22750,51552,19786,13822,5159,4384
14,Jalisco,2015,2500,1196,1405,915,174223,126125,88845,77467,74213,57299,35964,34320,2612,845,904,845,153038,77388,47743,77388,40779,22454,13527,9332
15,Mexico,2015,10186,5201,5485,3115,520471,313434,255698,156282,193827,124805,88260,60584,8550,1852,3047,1852,269172,98687,93060,98687,63003,25941,24469,10761
16,Michoacan,2015,1815,792,811,465,121892,84479,48066,40357,40663,32447,16651,15520,2583,592,706,592,101488,50962,28641,50962,17967,10599,5447,3739
17,Morelos,2015,1448,570,790,388,108517,59462,52851,32379,40699,25812,19529,13988,685,102,344,102,38755,15232,13297,15232,9409,3972,3380,1799
18,Nayarit,2015,471,163,245,142,38034,27129,16480,16154,12550,9832,5456,5791,688,150,253,150,31194,14483,10124,14483,6648,3363,2340,1565
19,Nuevo Leon,2015,1585,422,746,259,126594,71609,55419,37013,74539,41804,30685,20439,1450,415,646,415,85745,34088,30647,34088,44596,15596,14740,6107
20,Oaxaca,2015,1523,435,789,330,173079,95344,72638,46054,58696,37707,23749,17741,1169,165,348,165,82188,23153,24565,23153,10852,3550,3408,1520
21,Puebla,2015,2780,1087,1501,675,279149,181983,115677,80440,142078,95000,57574,41869,2923,969,1180,969,152335,67997,47592,67997,49531,23896,15465,8635
22,Queretaro,2015,976,347,582,239,97326,58386,44842,25983,40075,25354,15994,10532,899,262,352,262,83008,39590,24296,39590,19552,10095,6156,3694
23,Quintana Roo,2015,700,185,422,148,62030,27810,21614,12593,19557,9363,6813,4529,1170,200,459,200,52507,15857,14449,15857,13897,4188,3441,1379
24,San Luis Potosi,2015,1495,384,810,319,132544,84343,56481,42896,58021,39438,23663,19274,1714,453,480,453,106340,45077,30798,45077,30257,13559,8999,5441
25,Sinaloa,2015,1559,832,780,581,92606,58897,43641,38367,28132,20706,11303,12257,8241,1379,2658,1379,490389,78920,167795,78920,47125,12565,12652,6058
26,Sonora,2015,1248,355,463,261,60852,33575,25270,19522,28397,15455,11457,9196,2983,443,876,443,75220,22968,21221,22968,21004,6675,5349,2778
27,Tabasco,2015,1409,326,697,224,176372,76063,62546,35408,85024,37540,29626,17208,1166,304,541,304,85293,22706,29147,22706,23821,6327,8989,2850
28,Tamaulipas,2015,1696,721,951,489,157236,80493,72267,48980,91701,52043,44529,30518,1400,225,405,225,108225,45815,38556,45815,59646,25775,20668,13558
29,Tlaxcala,2015,570,186,338,128,71791,48876,31654,24541,37980,27343,16665,13171,526,107,281,107,47792,23396,18454,23396,17221,9507,6295,3768
30,Veracruz,2015,1109,414,481,249,113890,64004,38519,28872,36345,23682,13209,10977,878,250,284,250,46696,18386,11849,18386,7913,3454,2455,1487
31,Yucatan,2015,632,166,323,132,80146,46861,28488,20246,32721,21690,11703,9128,920,208,411,208,71174,27795,23147,27795,17725,7409,6066,3270
32,Zacatecas,2015,629,260,332,243,67613,49693,30729,28264,28939,23829,13472,12894,1276,299,429,299,92525,43903,28011,43903,24310,13853,8430,5782
1,Aguascalientes,2016,320,122,165,64,30953,19907,10557,7728,11604,9271,3628,3533,320,91,109,91,29830,15050,6789,15050,4563,3341,1071,840
2,Baja California,2016,1159,547,623,360,36401,21586,15118,12415,8939,6770,3705,3975,1086,355,382,355,35950,14972,9912,14972,4990,3047,1376,1279
3,Baja California Sur,2016,571,163,355,110,17101,7731,7860,4653,2700,1366,1352,923,562,114,267,114,17210,6552,5433,6552,2594,1558,771,459
4,Campeche,2016,474,180,257,129,35260,19902,9930,8473,5701,4382,1931,2180,614,180,237,180,31184,14079,7643,14079,5923,3511,1341,1313
5,Chiapas,2016,1309,577,480,276,79715,41581,19884,15228,15866,11207,4817,4444,731,207,166,207,41595,15054,7529,15054,6681,3335,1211,954
6,Chihuahua,2016,1465,682,786,453,72827,51227,28597,26158,13966,12198,5523,6146,1466,478,538,478,66300,34960,17649,34960,8975,6504,1958,2439
7,Ciudad De Mexico,2016,2693,1909,3095,1488,74519,67479,34320,29571,23452,24736,11776,11197,2114,868,773,868,47305,33109,14672,33109,6472,6153,1985,1707
8,Coahuila,2016,105,50,27,24,11729,7226,3059,2619,3549,2885,934,1075,83,32,21,32,9271,4341,1668,4341,1222,915,230,278
9,Colima,2016,374,154,238,120,23504,17900,8952,8770,6646,6269,2200,3116,452,111,190,111,22293,13785,6218,13785,4012,3232,1100,1128
10,Durango,2016,303,110,129,72,24737,14067,10189,8496,9364,6057,3764,3518,273,64,87,64,24400,10591,6082,10591,5775,2506,1398,911
11,Guanajuato,2016,2205,1071,1256,714,276068,216970,96506,97932,78785,76910,28780,35214,2268,907,895,907,283264,193137,73150,193137,51398,46330,14122,14440
12,Guerrero,2016,1260,496,567,304,130304,78271,38906,30351,31186,25623,10272,10707,1001,214,293,214,99371,34889,22305,34889,18330,8057,4272,2770
13,Hidalgo,2016,1122,580,586,304,108762,83138,34482,31335,32859,32250,10798,12101,891,348,266,348,47977,28004,11326,28004,9852,8181,2446,2150
14,Jalisco,2016,1661,950,922,645,130561,119131,51564,61476,46183,50150,17805,25597,1900,731,683,731,125975,88236,35838,88236,21211,19473,5986,7515
15,Mexico,2016,4799,2767,2507,1428,264192,207757,96111,81421,63866,58826,23424,23188,3182,1478,982,1478,150831,98273,36230,98273,25609,23265,5456,5659
16,Michoacan,2016,885,429,425,279,50760,39215,16439,15964,13953,13579,4731,5824,1107,313,359,313,48085,28196,11360,28196,7396,6284,1754,1839
17,Morelos,2016,1230,706,756,400,55704,39692,22022,17043,13716,12445,5474,5624,712,284,269,284,26322,14887,7129,14887,4198,3396,1114,990
18,Nayarit,2016,748,504,308,295,24634,22053,8219,11269,8229,9442,2956,4827,609,228,196,228,19429,11358,4895,11358,3118,2543,732,1145
19,Nuevo Leon,2016,871,416,442,205,46068,30608,15942,12315,15988,12575,5560,5008,815,332,282,332,29367,14554,7448,14554,4416,2830,1100,830
20,Oaxaca,2016,504,206,245,105,62723,44425,20369,17319,14420,13813,5363,5828,503,130,162,130,38946,19474,9105,19474,7044,4577,1653,1422
21,Puebla,2016,1422,767,658,360,171194,120977,57358,48271,54210,49823,20371,20877,942,430,326,430,83749,43150,20670,43150,16012,9587,4053,2986
22,Queretaro,2016,763,311,348,184,72241,50688,21911,17344,21373,19060,6814,7091,605,222,180,222,57385,32847,11719,32847,10097,7378,1869,2089
23,Quintana Roo,2016,1121,434,485,206,51340,24712,15415,10223,13998,8562,4552,3760,1222,278,373,278,45888,14594,10895,14594,7351,3106,1882,1260
24,San Luis Potosi,2016,1217,590,619,312,95657,58334,33277,26335,26811,20120,9744,9251,1485,410,484,410,76392,31889,20225,31889,12210,6590,3298,2130
25,Sinaloa,2016,293,144,134,77,29919,20547,10560,10168,11808,9183,4309,4796,242,114,82,114,24376,11215,6525,11215,3918,2470,1052,925
26,Sonora,2016,871,423,414,242,31657,19641,10365,8748,8801,6628,3194,2955,1369,369,398,369,30534,12106,7862,12106,4368,2430,1033,856
27,Tabasco,2016,859,351,336,184,68777,35701,18883,13544,17602,12706,5123,5386,707,214,193,214,41450,16409,9345,16409,6632,3289,1490,1168
28,Tamaulipas,2016,1308,652,572,307,78380,50150,25651,21782,32138,23692,11105,10868,1306,530,439,530,55876,27069,14400,27069,10487,6185,2723,2400
29,Tlaxcala,2016,615,279,407,204,62238,48460,24465,21722,17939,17844,7456,8171,360,138,148,138,33561,21424,8836,21424,5464,4521,1312,1387
30,Veracruz,2016,1255,561,482,275,90325,58233,23250,20106,17218,14990,4848,5498,758,222,207,222,48980,24919,9750,24919,9919,6324,1869,1694
31,Yucatan,2016,29,7,12,3,7190,4090,2255,1338,2573,1745,946,669,31,6,13,6,5466,2339,1413,2339,1300,720,331,188
32,Zacatecas,2016,632,377,298,240,37907,31299,13134,14931,11776,11709,4295,5832,798,339,228,339,36534,23580,8664,23580,4464,4007,926,1300
1,Aguascalientes,2017,431,146,167,95,37240,22623,12397,9562,13068,10144,4311,4061,404,96,123,96,34405,16209,7877,16209,6399,3960,1338,1087
2,Baja California,2017,1065,528,602,343,43432,27139,18454,15319,11480,8279,4850,4935,854,334,352,334,38647,18504,11618,18504,6685,4386,1736,1684
3,Baja California Sur,2017,693,186,398,152,22203,9468,9728,5734,4941,2401,1943,1615,826,154,347,154,22738,8384,7202,8384,3816,2159,1013,696
4,Campeche,2017,419,156,216,82,40239,22209,11487,9267,9086,6765,3371,3290,467,129,168,129,37087,16193,9128,16193,9036,5126,2149,1948
5,Chiapas,2017,1001,356,363,162,94255,45283,22396,16843,18191,12044,4951,5027,628,155,163,155,47130,16482,8646,16482,9861,4457,1736,1488
6,Chihuahua,2017,1588,732,833,463,82019,55888,31250,28105,16377,13514,6362,6774,1590,493,581,493,80923,41901,21581,41901,13389,9681,2935,3355
7,Ciudad De Mexico,2017,3291,2159,2558,1431,117164,108078,54041,47165,41770,45723,19132,20018,3466,1421,1461,1421,78989,56261,25297,56261,13891,13409,4217,3742
8,Coahuila,2017,102,42,27,15,13963,8182,3668,3028,4993,3555,1236,1410,75,26,24,26,11113,5213,2029,5213,2237,1515,348,464
9,Colima,2017,497,238,313,169,27768,20600,10774,10733,7604,6671,2654,3665,457,222,201,222,25844,15959,7341,15959,5710,4197,1462,1584
10,Durango,2017,276,153,107,79,19165,13077,6268,6470,6081,4994,2275,2566,330,122,100,122,20719,10967,5098,10967,4423,2922,1070,1080
11,Guanajuato,2017,2616,1107,1287,706,336366,253869,117209,115526,111253,107294,42038,50978,2442,832,852,832,343922,224197,88059,224197,77404,68228,20042,20670
12,Guerrero,2017,1613,653,733,436,150760,87610,44574,35124,35895,28216,12647,12344,1310,314,411,314,107805,38102,22664,38102,23200,10217,5048,3797
13,Hidalgo,2017,1064,464,495,286,121641,87373,37756,33646,39073,34945,12414,13386,842,262,222,262,69325,37217,15297,37217,17822,12751,3815,3541
14,Jalisco,2017,1779,937,922,664,150049,129556,56391,65297,51605,54739,19549,27670,1731,578,578,578,145615,100203,39478,100203,28751,26823,7622,9626
15,Mexico,2017,3564,2061,2002,1124,307346,244818,109369,96158,73945,69293,25998,27567,2207,940,694,940,174851,115718,41040,115718,36934,32923,7997,8108
16,Michoacan,2017,841,482,426,282,70502,52121,22408,21583,17681,16889,6178,7539,796,306,266,306,64868,38087,14742,38087,13119,10496,2932,2973
17,Morelos,2017,956,470,542,304,60970,42466,22484,18713,15893,14220,6203,6533,528,207,201,207,27109,15629,7163,15629,5918,4373,1484,1261
18,Nayarit,2017,687,434,244,252,26633,21756,8686,11365,9308,9638,3165,5211,593,283,178,283,22783,12538,5548,12538,3888,2988,1059,1294
19,Nuevo Leon,2017,1282,596,593,290,83085,56987,28305,23351,33617,27204,12142,11350,1436,606,450,606,68808,38044,17794,38044,12621,9288,3169,2829
20,Oaxaca,2017,412,164,213,86,45532,31967,13939,12265,10057,10074,3499,4255,300,71,105,71,27467,13960,6178,13960,6270,4128,1303,1397
21,Puebla,2017,1397,691,700,372,247454,172656,84233,69587,85691,74890,32045,31813,1086,451,328,451,140286,77234,35630,77234,36074,24386,8986,7631
22,Queretaro,2017,646,273,338,183,83102,57301,25274,20172,24700,21645,7855,7930,573,191,198,191,67208,37774,13934,37774,14302,10771,2830,2635
23,Quintana Roo,2017,894,283,460,178,62825,29476,18609,12148,21642,12188,7096,5458,1172,261,380,261,57485,18832,13539,18832,13976,5654,3204,2342
24,San Luis Potosi,2017,994,391,522,251,116556,71679,39786,32100,30258,22504,10953,10022,1137,294,409,294,95972,40479,24039,40479,19953,10603,4857,3418
25,Sinaloa,2017,366,167,171,103,42207,28903,14871,14369,16869,13357,6284,6766,346,163,105,163,35862,17343,9197,17343,6517,4430,1666,1691
26,Sonora,2017,1114,491,539,305,42257,25127,14366,12007,11472,8360,4179,4091,1786,434,581,434,45028,17184,11516,17184,7191,3989,1732,1522
27,Tabasco,2017,982,328,464,195,108677,54696,30506,21636,34846,22938,10360,10022,658,181,208,181,65789,25365,15012,25365,16280,7548,3645,2519
28,Tamaulipas,2017,1893,870,882,479,83583,53125,26455,22876,31294,24573,10382,10697,2071,759,660,759,63331,30931,16520,30931,14205,8680,3475,3099
29,Tlaxcala,2017,621,289,353,198,67501,50112,26763,23187,17338,16498,7539,8045,320,134,133,134,38803,24259,10536,24259,7467,6178,2054,1906
30,Veracruz,2017,2364,928,913,480,177240,111353,45975,38761,39238,34080,11104,12522,1475,400,399,400,93496,45198,18866,45198,20520,13257,3788,3397
31,Yucatan,2017,497,242,232,123,43494,31550,13721,11258,9763,8764,3476,3594,1231,504,373,504,38943,18091,10141,18091,5446,3565,1354,1073
32,Zacatecas,2017,549,300,255,166,46549,37336,16190,18527,13132,12760,5096,6683,664,216,185,216,45263,27517,11001,27517,7200,6155,1473,1881
1,Aguascalientes,2018,321,102,161,73,28897,17339,9528,7305,9508,6826,3027,2985,348,74,106,74,25674,12327,5985,12327,5148,3391,1122,997
2,Baja California,2018,1470,722,849,424,56540,36659,23969,20278,15789,11794,6362,6774,1297,397,482,397,48645,24223,14877,24223,9538,6572,2595,2384
3,Baja California Sur,2018,610,220,361,143,18491,8003,7950,5002,4877,2402,2021,1670,696,147,261,147,18976,7162,6103,7162,3569,1953,861,788
4,Campeche,2018,418,116,200,71,33441,17830,9447,7553,8087,5835,2866,2910,474,110,168,110,30985,13612,7750,13612,7574,4579,1911,1748
5,Chiapas,2018,928,317,286,180,112157,50178,26198,19007,23615,14096,6183,6003,657,150,142,150,60391,20297,11063,20297,14415,5783,2446,2041
6,Chihuahua,2018,1877,760,919,505,99077,66583,37660,32374,23232,18920,8967,9260,2035,624,744,624,103739,53208,28198,53208,18709,13972,4284,4840
7,Ciudad De Mexico,2018,3101,1990,2175,1240,132929,121414,61680,53983,46081,50023,20532,21546,3049,1250,1148,1250,91911,65030,29269,65030,18441,17872,5415,4880
8,Coahuila,2018,24,16,6,4,11133,6410,3157,2236,4627,3354,1237,1230,55,17,8,17,9611,4634,2076,4634,2262,1507,407,453
9,Colima,2018,558,278,329,206,27915,20634,10837,10907,8309,7616,3045,4138,576,168,220,168,25588,15688,7110,15688,6320,4895,1576,1739
10,Durango,2018,314,160,120,89,21700,14967,6789,7468,6816,5770,2282,2820,534,131,124,131,23256,12845,4925,12845,4837,3937,907,1447
11,Guanajuato,2018,2251,903,1068,642,366465,263726,126301,119997,134550,123479,49140,57722,2794,719,878,719,372605,232563,94658,232563,94040,81690,23518,25350
12,Guerrero,2018,2214,897,1038,569,168202,94835,50010,38729,42776,32586,15500,14990,1738,411,552,411,119533,41697,25837,41697,28468,13073,6747,4975
13,Hidalgo,2018,980,403,424,213,122632,83964,36857,32222,41415,36284,13066,14081,974,258,255,258,82849,43260,17083,43260,23515,15920,4623,4477
14,Jalisco,2018,1532,862,772,507,141358,117279,50347,57841,56161,55043,19673,26704,1430,504,567,504,134076,91095,35437,91095,30321,28521,7591,9860
15,Mexico,2018,4009,2327,2083,1209,296373,235318,99194,90297,75956,72729,25882,28016,3655,1082,1009,1082,174869,112495,39277,112495,41844,36127,9118,8517
16,Michoacan,2018,1077,470,444,327,73178,51710,22489,22053,18249,16406,5984,7215,938,228,271,228,65466,36007,14411,36007,14233,11389,2852,3399
17,Morelos,2018,1348,748,686,419,57991,40377,21205,18008,16244,13817,6770,6394,808,325,300,325,27014,15969,7450,15969,6494,5074,1736,1423
18,Nayarit,2018,456,265,201,152,23585,19121,7659,9633,8788,8987,3034,4696,451,185,155,185,21479,12148,5536,12148,4321,3228,1164,1323
19,Nuevo Leon,2018,811,364,360,187,83167,58013,27458,23499,38179,30753,13082,12372,984,303,285,303,74356,41545,18776,41545,16219,12290,3969,3958
20,Oaxaca,2018,316,118,178,58,41060,26520,12556,10090,8323,7973,3299,3444,258,64,72,64,26324,11316,5699,11316,6848,4085,1298,1122
21,Puebla,2018,1081,459,446,254,259527,176682,88060,71949,103100,84727,38189,36966,679,212,209,212,156199,85765,39584,85765,51602,34888,12905,11319
22,Queretaro,2018,619,264,302,129,85857,57514,26180,20346,26392,22775,8424,8228,633,140,229,140,71601,38943,15450,38943,16493,12501,3422,3103
23,Quintana Roo,2018,800,286,449,183,57769,26632,17554,11244,19118,10723,6521,4966,1086,206,396,206,53959,16811,12732,16811,12622,5058,2926,2059
24,San Luis Potosi,2018,882,248,433,167,117828,69890,38952,31151,31347,23267,11049,10116,889,197,303,197,100472,41838,24512,41838,24099,13232,5665,4278
25,Sinaloa,2018,391,171,183,105,46167,32038,15712,15974,18641,15111,6782,7746,511,124,173,124,40230,19951,10432,19951,8081,5681,1984,2153
26,Sonora,2018,1219,542,586,307,47766,28185,16128,13666,14485,10810,5206,5315,1769,450,606,450,50849,19517,13260,19517,8483,5060,2092,1861
27,Tabasco,2018,792,336,300,170,101687,50389,28610,20319,35734,22482,10853,9776,653,191,186,191,65732,25115,14605,25115,19001,8837,4315,2791
28,Tamaulipas,2018,1679,692,769,450,83850,51168,26449,23249,30110,23139,9950,10621,1251,393,455,393,63693,30615,16752,30615,14507,9607,3486,3354
29,Tlaxcala,2018,705,342,402,209,78546,55737,31501,25782,18806,17159,8150,8165,464,123,160,123,44237,26814,12445,26814,9376,7786,2630,2446
30,Veracruz,2018,2432,876,1001,498,218306,131194,55916,46165,68676,52907,18541,19849,1743,472,518,472,119027,54303,22608,54303,28821,17751,4989,4309
31,Yucatan,2018,127,49,67,29,57007,45121,16871,15221,13804,14001,4694,5313,265,110,84,110,54402,29033,13695,29033,8891,6236,2250,1946
32,Zacatecas,2018,623,330,300,242,53673,41083,18397,19960,16327,14702,5589,7473,727,235,252,235,52466,30051,13196,30051,9649,8369,2173,2498
