Id,Estado,miles_personas_2008,miles_personas_2009,miles_personas_2010,miles_personas_2011,miles_personas_2012,miles_personas_2013,miles_personas_2014,miles_personas_2015,miles_personas_2016,miles_personas_2017,miles_personas_2018,miles_personas_carencia_acceso_servicios_salud_2008,miles_personas_carencia_acceso_servicios_salud_2009,miles_personas_carencia_acceso_servicios_salud_2010,miles_personas_carencia_acceso_servicios_salud_2011,miles_personas_carencia_acceso_servicios_salud_2012,miles_personas_carencia_acceso_servicios_salud_2013,miles_personas_carencia_acceso_servicios_salud_2014,miles_personas_carencia_acceso_servicios_salud_2015,miles_personas_carencia_acceso_servicios_salud_2016,miles_personas_carencia_acceso_servicios_salud_2017,miles_personas_carencia_acceso_servicios_salud_2018,miles_personas_carencia_acceso_seguridad_social_2008,miles_personas_carencia_acceso_seguridad_social_2009,miles_personas_carencia_acceso_seguridad_social_2010,miles_personas_carencia_acceso_seguridad_social_2011,miles_personas_carencia_acceso_seguridad_social_2012,miles_personas_carencia_acceso_seguridad_social_2013,miles_personas_carencia_acceso_seguridad_social_2014,miles_personas_carencia_acceso_seguridad_social_2015,miles_personas_carencia_acceso_seguridad_social_2016,miles_personas_carencia_acceso_seguridad_social_2017,miles_personas_carencia_acceso_seguridad_social_2018,miles_personas_carencia_acceso_alimentacion_2008,miles_personas_carencia_acceso_alimentacion_2009,miles_personas_carencia_acceso_alimentacion_2010,miles_personas_carencia_acceso_alimentacion_2011,miles_personas_carencia_acceso_alimentacion_2012,miles_personas_carencia_acceso_alimentacion_2013,miles_personas_carencia_acceso_alimentacion_2014,miles_personas_carencia_acceso_alimentacion_2015,miles_personas_carencia_acceso_alimentacion_2016,miles_personas_carencia_acceso_alimentacion_2017,miles_personas_carencia_acceso_alimentacion_2018,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2008,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2009,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2010,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2011,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2012,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2013,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2014,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2015,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2016,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2017,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2018,miles_personas_ingreso_inferior_linea_pobreza_ingre_2008,miles_personas_ingreso_inferior_linea_pobreza_ingre_2009,miles_personas_ingreso_inferior_linea_pobreza_ingre_2010,miles_personas_ingreso_inferior_linea_pobreza_ingre_2011,miles_personas_ingreso_inferior_linea_pobreza_ingre_2012,miles_personas_ingreso_inferior_linea_pobreza_ingre_2013,miles_personas_ingreso_inferior_linea_pobreza_ingre_2014,miles_personas_ingreso_inferior_linea_pobreza_ingre_2015,miles_personas_ingreso_inferior_linea_pobreza_ingre_2016,miles_personas_ingreso_inferior_linea_pobreza_ingre_2017,miles_personas_ingreso_inferior_linea_pobreza_ingre_2018
11,Guanajuato,5455.38,5514.345,5573.31,5626.8150000000005,5680.32,5722.0,5763.68,5820.605,5877.53,5921.25,5964.97,1973.68,1691.12,1408.56,1245.1599999999999,1081.76,985.1700000000001,888.58,839.4300000000001,790.28,802.53,814.78,3636.63,3649.985,3663.34,3595.15,3526.96,3430.715,3334.47,3268.8199999999997,3203.17,3303.435,3403.7,1478.02,1400.665,1323.31,1470.19,1617.07,1469.67,1322.27,1242.205,1162.14,1198.19,1234.24,709.0,813.22,917.44,937.81,958.18,995.3199999999999,1032.46,974.455,916.45,933.415,950.38,2654.29,2836.885,3019.48,2910.9849999999997,2802.49,2990.14,3177.79,3074.785,2971.78,3002.6000000000004,3033.42
12,Guerrero,3389.09,3418.6400000000003,3448.19,3476.635,3505.08,3527.6800000000003,3550.28,3572.075,3593.87,3611.45,3629.03,1893.29,1617.69,1342.09,1115.885,889.68,786.46,683.24,581.005,478.77,489.41999999999996,500.07,2750.93,2728.725,2706.52,2729.625,2752.73,2762.7349999999997,2772.74,2715.14,2657.54,2700.265,2742.99,1151.74,1311.605,1471.47,1426.865,1382.26,1373.835,1365.41,1182.8700000000001,1000.33,1145.325,1290.32,1318.41,1327.46,1336.51,1459.13,1581.75,1422.4299999999998,1263.11,1263.955,1264.8,1333.5749999999998,1402.35,2387.15,2392.66,2398.17,2459.9700000000003,2521.77,2465.585,2409.4,2419.86,2430.32,2476.45,2522.58
13,Hidalgo,2616.09,2658.965,2701.84,2739.8,2777.76,2814.03,2850.3,2885.865,2921.43,2955.865,2990.3,1240.2,1022.4000000000001,804.6,661.435,518.27,505.895,493.52,457.53999999999996,421.56,426.57,431.58,2019.54,1980.15,1940.76,1961.1,1981.44,1972.65,1963.86,2035.005,2106.15,2111.84,2117.53,625.33,704.48,783.63,738.77,693.91,798.47,903.03,808.8050000000001,714.58,697.1800000000001,679.78,594.05,617.92,641.79,650.825,659.86,681.69,703.52,618.19,532.86,485.95000000000005,439.04,1533.3,1561.545,1589.79,1569.615,1549.44,1621.375,1693.31,1654.0749999999998,1614.84,1519.775,1424.71
14,Jalisco,7241.42,7354.41,7467.4,7567.655,7667.91,7764.33,7860.75,7954.6900000000005,8048.63,8135.66,8222.69,2458.38,2419.4300000000003,2380.48,2099.96,1819.44,1660.545,1501.65,1458.395,1415.14,1503.165,1591.19,4199.62,4167.075,4134.53,4118.68,4102.83,3999.87,3896.91,3924.63,3952.35,4023.12,4093.89,1294.77,1469.21,1643.65,1611.75,1579.85,1439.56,1299.27,1269.585,1239.9,1241.135,1242.37,697.1,897.675,1098.25,1173.655,1249.06,1064.9299999999998,880.8,750.53,620.26,652.9300000000001,685.6,3042.39,3137.495,3232.6,3451.585,3670.57,3535.1850000000004,3399.8,3293.44,3187.08,3077.225,2967.37
15,Mexico,15099.49,15374.215,15648.94,15907.445,16165.95,16419.52,16673.09,16931.905,17190.72,17428.75,17666.78,6429.39,5618.415,4807.44,4452.555,4097.67,3689.01,3280.35,2974.3,2668.25,3079.0699999999997,3489.89,10307.48,9771.5,9235.52,9852.0,10468.48,10288.55,10108.62,9821.85,9535.08,9998.305,10461.53,3201.8,4070.3650000000002,4938.93,3898.485,2858.04,3204.165,3550.29,3561.51,3572.73,3539.285,3505.84,1691.61,1976.475,2261.34,2419.66,2577.98,2962.4049999999997,3346.83,3118.33,2889.83,2666.46,2443.09,7234.17,7412.5,7590.83,8091.32,8591.81,9207.86,9823.91,9849.045,9874.18,9481.05,9087.92
16,Michoacan,4346.62,4388.655,4430.69,4466.445,4502.2,4536.969999999999,4571.74,4604.225,4636.71,4665.995,4695.28,2417.47,2056.075,1694.68,1490.33,1285.98,1242.075,1198.17,1127.125,1056.08,1025.61,995.14,3362.88,3281.88,3200.88,3213.255,3225.63,3241.815,3258.0,3225.59,3193.18,3227.665,3262.15,1383.56,1330.74,1277.92,1364.22,1450.52,1517.575,1584.63,1393.335,1202.04,1095.395,988.75,964.34,960.665,956.99,1024.315,1091.64,1104.14,1116.64,1045.18,973.72,852.14,730.56,2520.82,2569.1000000000004,2617.38,2611.365,2605.35,2750.205,2895.06,2840.115,2785.17,2587.87,2390.57
17,Morelos,1756.4,1782.6,1808.8,1832.295,1855.79,1878.435,1901.08,1925.27,1949.46,1971.795,1994.13,674.67,608.035,541.4,477.62,413.84,364.96,316.08,304.66499999999996,293.25,314.265,335.28,1270.57,1219.46,1168.35,1181.55,1194.75,1226.585,1258.42,1234.825,1211.23,1268.71,1326.19,439.06,418.16499999999996,397.27,483.655,570.04,540.245,510.45,445.28499999999997,380.12,435.255,490.39,307.89,279.725,251.56,265.18,278.8,334.57,390.34,355.145,319.95,355.735,391.52,912.68,900.22,887.76,908.3199999999999,928.88,1019.685,1110.49,1115.5549999999998,1120.62,1124.185,1127.75
18,Nayarit,1063.85,1089.5549999999998,1115.26,1138.78,1162.3,1184.5900000000001,1206.88,1229.855,1252.83,1274.8899999999999,1296.95,322.27,288.49,254.71,233.82999999999998,212.95,204.61,196.27,192.405,188.54,182.815,177.09,704.19,696.35,688.51,707.815,727.12,691.5550000000001,655.99,677.415,698.84,713.0550000000001,727.27,193.37,228.475,263.58,299.065,334.55,312.925,291.3,270.5,249.7,247.44,245.18,153.5,175.865,198.23,235.075,271.92,249.41000000000003,226.9,216.34,205.78,190.185,174.59,490.9,500.145,509.39,563.7950000000001,618.2,592.81,567.42,556.21,545.0,529.73,514.46
19,Nuevo Leon,4569.31,4650.360000000001,4731.41,4802.33,4873.25,4947.49,5021.73,5100.32,5178.91,5250.105,5321.3,1133.89,1007.08,880.27,817.76,755.25,720.78,686.31,688.185,690.06,689.845,689.63,2024.07,1891.725,1759.38,1781.0500000000002,1802.72,1740.895,1679.07,1710.5549999999998,1742.04,1790.8899999999999,1839.74,491.44,616.165,740.89,800.4649999999999,860.04,785.4749999999999,710.91,727.79,744.67,696.785,648.9,280.44,282.98,285.52,357.30499999999995,429.09,374.515,319.94,240.1,160.26,162.18,164.1,1306.62,1344.685,1382.75,1463.01,1543.27,1512.12,1480.97,1247.33,1013.69,1068.4,1123.11
20,Oaxaca,3809.58,3842.6549999999997,3875.73,3903.2349999999997,3930.74,3959.935,3989.13,4016.795,4044.46,4067.92,4091.38,2086.44,1789.4450000000002,1492.45,1157.915,823.38,809.145,794.91,718.495,642.08,653.6,665.12,3063.48,3070.575,3077.67,3026.34,2975.01,3041.4350000000004,3107.86,3129.7650000000003,3151.67,3134.15,3116.63,1088.66,1055.73,1022.8,1133.71,1244.62,1342.455,1440.29,1354.5749999999998,1268.86,1205.54,1142.22,1255.15,1329.12,1403.09,1377.38,1351.67,1515.67,1679.67,1652.815,1625.96,1579.045,1532.13,2408.66,2527.535,2646.41,2573.045,2499.68,2623.005,2746.33,2843.915,2941.5,2882.0,2822.5
