Id,Estado,porcentaje_poblacion_vulnerable_carencias_sociales_2008,porcentaje_poblacion_vulnerable_carencias_sociales_2009,porcentaje_poblacion_vulnerable_carencias_sociales_2010,porcentaje_poblacion_vulnerable_carencias_sociales_2011,porcentaje_poblacion_vulnerable_carencias_sociales_2012,porcentaje_poblacion_vulnerable_carencias_sociales_2013,porcentaje_poblacion_vulnerable_carencias_sociales_2014,porcentaje_poblacion_vulnerable_carencias_sociales_2015,porcentaje_poblacion_vulnerable_carencias_sociales_2016,porcentaje_poblacion_vulnerable_carencias_sociales_2017,porcentaje_poblacion_vulnerable_carencias_sociales_2018,miles_personas_vulnerables_carencias_sociales_2008,miles_personas_vulnerables_carencias_sociales_2009,miles_personas_vulnerables_carencias_sociales_2010,miles_personas_vulnerables_carencias_sociales_2011,miles_personas_vulnerables_carencias_sociales_2012,miles_personas_vulnerables_carencias_sociales_2013,miles_personas_vulnerables_carencias_sociales_2014,miles_personas_vulnerables_carencias_sociales_2015,miles_personas_vulnerables_carencias_sociales_2016,miles_personas_vulnerables_carencias_sociales_2017,miles_personas_vulnerables_carencias_sociales_2018,porcentaje_poblacion_vulnerable_ingresos_2008,porcentaje_poblacion_vulnerable_ingresos_2009,porcentaje_poblacion_vulnerable_ingresos_2010,porcentaje_poblacion_vulnerable_ingresos_2011,porcentaje_poblacion_vulnerable_ingresos_2012,porcentaje_poblacion_vulnerable_ingresos_2013,porcentaje_poblacion_vulnerable_ingresos_2014,porcentaje_poblacion_vulnerable_ingresos_2015,porcentaje_poblacion_vulnerable_ingresos_2016,porcentaje_poblacion_vulnerable_ingresos_2017,porcentaje_poblacion_vulnerable_ingresos_2018,miles_personas_vulnerables_ingresos_2008,miles_personas_vulnerables_ingresos_2009,miles_personas_vulnerables_ingresos_2010,miles_personas_vulnerables_ingresos_2011,miles_personas_vulnerables_ingresos_2012,miles_personas_vulnerables_ingresos_2013,miles_personas_vulnerables_ingresos_2014,miles_personas_vulnerables_ingresos_2015,miles_personas_vulnerables_ingresos_2016,miles_personas_vulnerables_ingresos_2017,miles_personas_vulnerables_ingresos_2018,porcentaje_poblacion_no_pobre_y_no_vulnerable_2008,porcentaje_poblacion_no_pobre_y_no_vulnerable_2009,porcentaje_poblacion_no_pobre_y_no_vulnerable_2010,porcentaje_poblacion_no_pobre_y_no_vulnerable_2011,porcentaje_poblacion_no_pobre_y_no_vulnerable_2012,porcentaje_poblacion_no_pobre_y_no_vulnerable_2013,porcentaje_poblacion_no_pobre_y_no_vulnerable_2014,porcentaje_poblacion_no_pobre_y_no_vulnerable_2015,porcentaje_poblacion_no_pobre_y_no_vulnerable_2016,porcentaje_poblacion_no_pobre_y_no_vulnerable_2017,porcentaje_poblacion_no_pobre_y_no_vulnerable_2018,miles_personas_no_pobresy_no_vulnerables_2008,miles_personas_no_pobresy_no_vulnerableslist_2009,miles_personas_no_pobresy_no_vulnerables_2010,miles_personas_no_pobresy_no_vulnerableslist_2011,miles_personas_no_pobresy_no_vulnerables_2012,miles_personas_no_pobresy_no_vulnerableslist_2013,miles_personas_no_pobresy_no_vulnerables_2014,miles_personas_no_pobresy_no_vulnerableslist_2015,miles_personas_no_pobresy_no_vulnerables_2016,miles_personas_no_pobresy_no_vulnerableslist_2017,miles_personas_no_pobresy_no_vulnerables_2018
11,Guanajuato,36.2,32.55,28.9,30.75,32.6,30.15,27.7,28.85,30.0,29.7,29.4,1976.26,1793.72,1611.18,1731.25,1851.32,1723.08,1594.84,1677.745,1760.65,1757.845,1755.04,4.6,5.15,5.7,5.300000000000001,4.9,6.75,8.6,8.399999999999999,8.2,7.85,7.5,250.74,283.24,315.74,296.19,276.64,385.57,494.5,488.28,482.06,463.82,445.58,15.1,16.0,16.9,17.5,18.1,17.65,17.2,18.35,19.5,19.6,19.7,824.83,883.74,942.65,984.585,1026.52,1008.79,991.06,1068.08,1145.1,1160.8049999999998,1176.51
12,Guerrero,22.8,22.9,23.0,22.35,21.7,23.95,26.2,25.0,23.8,23.5,23.2,773.11,782.38,791.65,776.04,760.43,844.515,928.6,892.345,856.09,849.69,843.29,2.0,2.0,2.0,2.15,2.3,2.45,2.6,2.9000000000000004,3.2,3.1,3.0,67.55,67.88,68.21,73.53999999999999,78.87,86.42500000000001,93.98,104.78999999999999,115.6,112.99,110.38,6.8,7.15,7.5,6.95,6.4,6.2,6.0,7.3,8.6,7.949999999999999,7.3,228.83,243.60000000000002,258.37,240.625,222.88,217.575,212.27,259.865,307.46,285.31,263.16
13,Hidalgo,30.5,29.0,27.5,29.1,30.7,28.25,25.8,28.85,31.9,35.4,38.9,798.57,770.26,741.95,797.175,852.4,794.015,735.63,833.8299999999999,932.03,1047.07,1162.11,3.4,3.8,4.2,3.6,3.0,4.05,5.1,4.9,4.7,4.25,3.8,89.7,101.22,112.74,98.13499999999999,83.53,114.515,145.5,140.75,136.0,124.805,113.61,10.9,12.3,13.7,13.6,13.5,14.15,14.8,13.8,12.8,13.15,13.5,284.21,327.155,370.1,373.01,375.92,398.635,421.35,397.95500000000004,374.56,389.02,403.48
14,Jalisco,35.9,34.8,33.7,31.0,28.3,28.950000000000003,29.6,31.1,32.6,34.55,36.5,2598.08,2557.05,2516.02,2344.5699999999997,2173.12,2250.785,2328.45,2474.97,2621.49,2812.085,3002.68,5.3,5.75,6.2,7.15,8.1,8.0,7.9,7.85,7.8,7.75,7.7,385.3,425.625,465.95,542.765,619.58,619.58,619.58,623.0350000000001,626.49,628.105,629.72,22.1,22.55,23.0,23.4,23.8,25.450000000000003,27.1,27.450000000000003,27.8,27.6,27.4,1600.95,1659.865,1718.78,1771.5,1824.22,1978.3600000000001,2132.5,2186.285,2240.07,2246.36,2252.65
15,Mexico,35.6,33.900000000000006,32.2,30.85,29.5,26.6,23.7,22.5,21.3,24.700000000000003,28.1,5370.89,5201.055,5031.22,4898.655000000001,4766.09,4355.435,3944.78,3804.985,3665.19,4316.78,4968.37,4.3,4.949999999999999,5.6,6.699999999999999,7.8,8.55,9.3,9.45,9.6,9.149999999999999,8.7,655.99,767.385,878.78,1070.925,1263.07,1408.56,1554.05,1599.0149999999999,1643.98,1592.68,1541.38,16.5,17.9,19.3,18.35,17.4,17.4,17.4,19.299999999999997,21.2,20.799999999999997,20.4,2494.42,2760.6549999999997,3026.89,2917.475,2808.06,2856.23,2904.4,3277.875,3651.35,3630.915,3610.48
16,Michoacan,31.4,30.0,28.6,29.65,30.7,27.85,25.0,26.4,27.8,31.299999999999997,34.8,1365.14,1317.17,1269.2,1325.105,1381.01,1261.725,1142.44,1216.245,1290.05,1462.2150000000001,1634.38,2.5,3.4,4.3,3.9,3.5,3.8,4.1,4.4,4.7,4.800000000000001,4.9,109.64,151.09,192.54,175.095,157.65,172.035,186.42,202.865,219.31,223.98000000000002,228.65,10.6,11.45,12.3,11.9,11.5,11.6,11.7,11.899999999999999,12.1,13.2,14.3,460.67,502.395,544.12,529.98,515.84,525.04,534.24,547.865,561.49,615.905,670.32
17,Morelos,34.1,33.85,33.6,32.8,32.0,28.85,25.7,25.049999999999997,24.4,26.9,29.4,599.41,603.9,608.39,601.53,594.67,542.035,489.4,482.485,475.57,531.2,586.83,3.1,4.45,5.8,5.199999999999999,4.6,5.35,6.1,7.0,7.9,6.800000000000001,5.7,55.09,80.34,105.59,95.49000000000001,85.39,101.075,116.76,135.76,154.76,134.59,114.42,13.9,15.600000000000001,17.3,17.6,17.9,16.85,15.8,16.950000000000003,18.1,16.05,14.0,244.31,278.485,312.66,322.44500000000005,332.23,316.70500000000004,301.18,327.23,353.28,316.41499999999996,279.55
18,Nayarit,34.5,33.95,33.4,30.799999999999997,28.2,28.799999999999997,29.4,30.4,31.4,33.65,35.9,366.76,369.83500000000004,372.91,350.4,327.89,341.64,355.39,374.555,393.72,429.915,466.11,4.4,4.35,4.3,4.949999999999999,5.6,6.05,6.5,6.25,6.0,5.45,4.9,46.79,47.465,48.14,56.395,64.65,71.62,78.59,76.73,74.87,69.19,63.51,19.4,20.15,20.9,19.75,18.6,21.05,23.5,24.3,25.1,24.75,24.4,206.19,219.57999999999998,232.97,224.59,216.21,250.14499999999998,284.08,299.095,314.11,315.24,316.37
19,Nuevo Leon,36.5,34.05,31.6,30.35,29.1,28.55,28.0,31.3,34.6,34.5,34.4,1667.3,1581.88,1496.46,1457.2649999999999,1418.07,1412.4,1406.73,1598.635,1790.54,1811.645,1832.75,7.2,7.699999999999999,8.2,8.3,8.4,8.75,9.1,7.199999999999999,5.3,5.949999999999999,6.6,330.37,359.345,388.32,399.36,410.4,434.315,458.23,367.08000000000004,275.93,313.005,350.08,34.9,37.0,39.1,39.150000000000006,39.2,40.85,42.5,44.2,45.9,45.2,44.5,1595.4,1723.805,1852.21,1882.055,1911.9,2022.97,2134.04,2254.3599999999997,2374.68,2370.06,2365.44
20,Oaxaca,26.8,24.5,22.2,24.15,26.1,24.700000000000003,23.3,21.6,19.9,21.2,22.5,1020.27,939.9449999999999,859.62,942.0450000000001,1024.47,976.1949999999999,927.92,866.75,805.58,863.24,920.9,1.4,1.35,1.3,1.5,1.7,1.9,2.1,2.2,2.3,2.45,2.6,54.21,52.185,50.16,57.62,65.08,74.33,83.58,88.87,94.16,100.97999999999999,107.8,10.0,9.75,9.5,9.9,10.3,9.100000000000001,7.9,7.65,7.4,7.95,8.5,380.65,375.17499999999995,369.7,388.145,406.59,360.74,314.89,306.135,297.38,322.68,347.98
