Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2001,76375
"     Baja California",2001,123325
"     Baja California Sur",2001,34749
"     Campeche",2001,41366
"     Chiapas",2001,75049
"     Chihuahua",2001,208851
"     Coahuila ",2001,224937
"     Colima",2001,46691
"     D.F. Norte",2001,315949
"     D.F. Sur",2001,418975
"     Durango",2001,105907
"     Guanajuato",2001,253986
"     Guerrero",2001,85526
"     Hidalgo",2001,60291
"     Jalisco",2001,353475
"     México Oriente",2001,371436
"     México Poniente",2001,263898
"     Michoacán",2001,130482
"     Morelos",2001,76926
"     Nayarit",2001,59761
"     Nuevo León",2001,398720
"     Oaxaca",2001,77993
"     Puebla",2001,175935
"     Querétaro",2001,63005
"     Quintana Roo",2001,33942
"     San Luis Potosí",2001,65122
"     Sinaloa",2001,193680
"     Sonora",2001,113616
"     Tabasco",2001,54479
"     Tamaulipas",2001,226094
"     Tlaxcala",2001,45091
"     Veracruz Norte",2001,150220
"     Veracruz Sur",2001,135514
"     Yucatán",2001,119281
"     Zacatecas",2001,49549
