Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2003,74338
"     Baja California",2003,178379
"     Baja California Sur",2003,38348
"     Campeche",2003,53694
"     Chiapas",2003,75491
"     Chihuahua",2003,244106
"     Coahuila ",2003,266316
"     Colima",2003,38906
"     D.F. Norte",2003,363258
"     D.F. Sur",2003,453825
"     Durango",2003,134825
"     Guanajuato",2003,240753
"     Guerrero",2003,102630
"     Hidalgo",2003,143999
"     Jalisco",2003,386968
"     México Oriente",2003,359250
"     México Poniente",2003,362001
"     Michoacán",2003,173994
"     Morelos",2003,91569
"     Nayarit",2003,38870
"     Nuevo León",2003,522584
"     Oaxaca",2003,59226
"     Puebla",2003,150251
"     Querétaro",2003,139095
"     Quintana Roo",2003,68408
"     San Luis Potosí",2003,107291
"     Sinaloa",2003,187831
"     Sonora",2003,188747
"     Tabasco",2003,65241
"     Tamaulipas",2003,260945
"     Tlaxcala",2003,45317
"     Veracruz Norte",2003,189470
"     Veracruz Sur",2003,184734
"     Yucatán",2003,156252
"     Zacatecas",2003,47165
