Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2005,21357
"     Baja California",2005,42437
"     Baja California Sur",2005,13408
"     Campeche",2005,13777
"     Chiapas",2005,14784
"     Chihuahua",2005,93994
"     Coahuila ",2005,92649
"     Colima",2005,13492
"     D.F. Norte",2005,152312
"     D.F. Sur",2005,111194
"     Durango",2005,30547
"     Guanajuato",2005,65203
"     Guerrero",2005,48952
"     Hidalgo",2005,22981
"     Jalisco",2005,128065
"     México Oriente",2005,136785
"     México Poniente",2005,52521
"     Michoacán",2005,54767
"     Morelos",2005,28522
"     Nayarit",2005,14270
"     Nuevo León",2005,134003
"     Oaxaca",2005,17188
"     Puebla",2005,58889
"     Querétaro",2005,34419
"     Quintana Roo",2005,15432
"     San Luis Potosí",2005,37809
"     Sinaloa",2005,78712
"     Sonora",2005,43419
"     Tabasco",2005,12858
"     Tamaulipas",2005,47432
"     Tlaxcala",2005,11198
"     Veracruz Norte",2005,71687
"     Veracruz Sur",2005,75235
"     Yucatán",2005,42288
"     Zacatecas",2005,18486
