Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2004,74935
"     Baja California",2004,158505
"     Baja California Sur",2004,89279
"     Campeche",2004,63447
"     Chiapas",2004,58580
"     Chihuahua",2004,338580
"     Coahuila ",2004,363994
"     Colima",2004,44102
"     D.F. Norte",2004,466068
"     D.F. Sur",2004,309819
"     Durango",2004,118771
"     Guanajuato",2004,238961
"     Guerrero",2004,118622
"     Hidalgo",2004,75648
"     Jalisco",2004,488321
"     México Oriente",2004,450855
"     México Poniente",2004,208583
"     Michoacán",2004,170582
"     Morelos",2004,106465
"     Nayarit",2004,29875
"     Nuevo León",2004,539394
"     Oaxaca",2004,76650
"     Puebla",2004,290450
"     Querétaro",2004,158768
"     Quintana Roo",2004,111251
"     San Luis Potosí",2004,145502
"     Sinaloa",2004,302588
"     Sonora",2004,130045
"     Tabasco",2004,41517
"     Tamaulipas",2004,229312
"     Tlaxcala",2004,44448
"     Veracruz Norte",2004,282671
"     Veracruz Sur",2004,268737
"     Yucatán",2004,151960
"     Zacatecas",2004,43589
