Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2013,194036
"     Baja California",2013,418876
"     Baja California Sur",2013,102908
"     Campeche",2013,58167
"     Chiapas",2013,126406
"     Chihuahua",2013,471558
"     Coahuila ",2013,435345
"     Colima",2013,66771
"     D.F. Norte",2013,760758
"     D.F. Sur",2013,1050163
"     Durango",2013,291250
"     Guanajuato",2013,327014
"     Guerrero",2013,131882
"     Hidalgo",2013,135337
"     Jalisco",2013,1020871
"     México Oriente",2013,1220308
"     México Poniente",2013,493844
"     Michoacán",2013,211789
"     Morelos",2013,176208
"     Nayarit",2013,103376
"     Nuevo León",2013,1211010
"     Oaxaca",2013,112501
"     Puebla",2013,266187
"     Querétaro",2013,156711
"     Quintana Roo",2013,75991
"     San Luis Potosí",2013,190933
"     Sinaloa",2013,464545
"     Sonora",2013,352556
"     Tabasco",2013,67947
"     Tamaulipas",2013,380147
"     Tlaxcala",2013,60459
"     Veracruz Norte",2013,367599
"     Veracruz Sur",2013,142265
"     Yucatán",2013,204450
"     Zacatecas",2013,53255
