Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2002,77405
"     Baja California",2002,113658
"     Baja California Sur",2002,34263
"     Campeche",2002,46574
"     Chiapas",2002,76566
"     Chihuahua",2002,251252
"     Coahuila ",2002,219128
"     Colima",2002,39286
"     D.F. Norte",2002,338199
"     D.F. Sur",2002,432112
"     Durango",2002,105794
"     Guanajuato",2002,218135
"     Guerrero",2002,113091
"     Hidalgo",2002,54763
"     Jalisco",2002,320156
"     México Oriente",2002,467767
"     México Poniente",2002,252683
"     Michoacán",2002,124015
"     Morelos",2002,80464
"     Nayarit",2002,37094
"     Nuevo León",2002,405432
"     Oaxaca",2002,73374
"     Puebla",2002,138801
"     Querétaro",2002,73942
"     Quintana Roo",2002,43530
"     San Luis Potosí",2002,117498
"     Sinaloa",2002,171939
"     Sonora",2002,139717
"     Tabasco",2002,61908
"     Tamaulipas",2002,237023
"     Tlaxcala",2002,51927
"     Veracruz Norte",2002,150609
"     Veracruz Sur",2002,111079
"     Yucatán",2002,129223
"     Zacatecas",2002,52899
