estado_1,anio,porc_pob_afiliada_seguro_popular,miles_perso_afiliadas_seguro_popular,porc_pob_afiliada_imss,miles_perso_afilidas_imss,porc_pob_afiliada_issste,miles_perso_afilidas_issste,porc_pob_afiliada_issste_estatal,miles_perso_afilidas_issste_estatal,porc_pob_afiliada_pemex_defensa_o_marina,miles_perso_afiliadas_pemex_defensa_o_marina,porc_pob_seguro_privado_gastos_med,miles_perso_seguro_privado_gastos_med,porc_pob_acces_servicios_med_seg_social_indirect,miles_perso_acces_servicios_med_seg_social_indirect,porc_pob_afiliada_inst_medica_dist_las_ant,miles_perso_afiliadas_inst_medica_dist_las_ant
aguascalientes,2014,37.900,483.110,48.800,622.130,7.600,97.120,0.100,1.300,0.200,1.980,1.900,24.400,2.400,31.130,0.400,5.510
baja_california,2014,28.100,968.230,44.800,1541.680,3.700,127.290,3.100,108.310,0.300,11.300,1.100,38.880,3.200,111.750,2.200,77.370
baja_california_sur,2014,30.300,226.830,46.600,348.220,12.100,90.780,0.100,0.500,0.900,6.770,1.200,9.020,2.500,18.710,0.400,2.800
campeche,2014,54.000,484.220,29.600,265.480,6.600,59.070,0.100,0.630,3.700,33.050,0.700,5.860,1.600,14.400,0.100,1.020
coahuila,2014,23.500,690.700,60.000,1762.720,6.400,188.410,0.400,12.620,0.400,11.160,2.100,62.400,2.200,66.020,2.200,64.600
colima,2014,41.900,299.030,40.200,286.800,6.500,46.070,0.600,4.040,1.200,8.450,1.100,8.030,1.600,11.720,0.900,6.180
chiapas,2014,67.000,3484.320,9.700,505.610,3.600,186.600,1.300,68.990,0.800,41.090,0.200,9.200,0.900,45.380,0.700,35.810
chihuahua,2014,31.500,1157.380,50.900,1872.890,4.400,160.960,0.100,5.120,0.300,9.310,1.400,52.590,2.300,82.980,4.400,162.050
ciudad_de_mexico,2014,24.900,2195.340,40.400,3561.010,14.900,1314.940,0.000,2.740,0.800,68.060,1.800,161.760,2.400,215.460,1.800,154.370
durango,2014,40.900,715.950,37.900,663.090,10.100,176.750,0.100,2.490,0.700,11.570,0.400,6.570,1.600,28.160,0.100,2.330
guanajuato,2014,49.100,2832.600,35.700,2056.480,4.000,232.260,0.100,4.250,0.700,41.320,0.500,27.050,1.400,83.540,0.200,12.960
guerrero,2014,64.200,2278.540,11.700,415.030,7.800,277.220,0.400,13.030,0.700,23.520,0.200,7.510,0.900,32.360,0.000,1.280
hidalgo,2014,56.800,1617.670,20.800,593.090,8.300,237.290,0.200,6.720,1.200,33.670,0.700,20.030,1.300,36.280,0.300,7.400
jalisco,2014,35.200,2766.050,44.900,3525.610,3.600,285.880,0.100,5.830,0.300,23.850,1.700,134.800,2.600,200.720,1.100,83.510
mexico,2014,40.800,6809.450,34.900,5819.050,4.500,745.390,3.800,625.690,0.900,144.540,0.500,76.050,1.500,251.020,1.000,174.300
michoacan,2014,50.700,2315.730,19.600,897.420,6.000,273.840,0.100,4.390,0.200,10.700,0.400,16.500,1.200,56.320,0.300,11.590
morelos,2014,53.200,1011.640,25.500,485.110,7.500,141.890,0.100,2.170,0.500,8.580,1.000,18.460,1.500,27.630,0.200,3.720
nayarit,2014,45.600,550.570,33.100,399.190,13.100,157.650,0.200,2.250,0.300,3.530,0.800,9.620,1.100,13.090,0.500,5.920
nuevo_leon,2014,21.300,1067.760,61.400,3084.530,2.500,123.610,1.200,60.440,0.200,8.330,2.700,135.080,2.700,137.410,3.400,169.760
oaxaca,2014,63.000,2512.000,11.000,437.040,6.400,256.460,0.400,14.480,1.500,58.720,0.300,10.550,0.900,35.700,0.400,17.380
puebla,2014,57.800,3543.910,18.500,1132.910,2.300,138.600,2.100,127.450,0.400,27.480,0.700,44.520,1.600,97.940,0.700,45.360
queretaro,2014,43.100,851.470,41.000,810.230,4.200,83.120,0.100,1.270,0.100,2.240,1.300,24.990,2.300,46.050,0.700,12.940
quintana_roo,2014,36.400,561.160,40.400,623.030,7.200,111.730,0.100,0.790,0.800,13.000,0.700,11.540,2.800,42.570,0.100,1.530
san_luis_potosi,2014,55.000,1499.660,31.900,868.600,5.500,149.230,0.000,0.000,0.400,10.090,0.800,21.790,1.500,40.670,0.800,22.580
sinaloa,2014,39.000,1156.520,42.400,1257.610,9.200,272.240,0.500,15.680,0.400,12.270,0.900,27.700,1.700,49.620,0.500,14.210
sonora,2014,31.600,916.460,48.700,1412.450,4.300,124.760,6.000,175.100,0.700,21.230,2.300,68.060,2.500,71.260,1.100,31.510
tabasco,2014,53.100,1252.050,17.900,421.480,4.000,95.240,2.800,65.630,4.500,106.640,0.600,14.870,2.100,49.410,4.200,99.300
tamaulipas,2014,35.800,1257.090,44.200,1550.710,6.900,242.520,0.000,0.000,2.700,92.990,1.000,33.970,2.100,72.080,1.400,49.470
tlaxcala,2014,60.500,764.740,22.000,278.600,5.300,67.540,0.100,1.340,0.500,6.950,0.300,3.440,1.000,13.180,1.000,12.980
veracruz,2014,50.400,4027.900,24.300,1944.990,3.000,240.580,0.100,7.360,3.400,273.280,0.400,30.650,1.400,109.450,0.200,12.050
yucatan,2014,43.000,897.200,39.000,813.770,4.900,101.730,0.300,5.420,1.000,20.980,1.300,26.970,2.100,44.620,0.700,13.830
zacatecas,2014,57.900,906.040,28.600,448.610,4.800,75.230,0.000,0.220,0.400,6.950,0.400,5.940,0.800,12.620,0.000,0.700
