estado_1,anio,porc_pob_afiliada_seguro_popular,miles_perso_afiliadas_seguro_popular,porc_pob_afiliada_imss,miles_perso_afilidas_imss,porc_pob_afiliada_issste,miles_perso_afilidas_issste,porc_pob_afiliada_issste_estatal,miles_perso_afilidas_issste_estatal,porc_pob_afiliada_pemex_defensa_o_marina,miles_perso_afiliadas_pemex_defensa_o_marina,porc_pob_seguro_privado_gastos_med,miles_perso_seguro_privado_gastos_med,porc_pob_acces_servicios_med_seg_social_indirect,miles_perso_acces_servicios_med_seg_social_indirect,porc_pob_afiliada_inst_medica_dist_las_ant,miles_perso_afiliadas_inst_medica_dist_las_ant
aguascalientes,2012,36.300,449.780,45.000,556.730,7.700,94.920,0.000,0.190,0.200,2.610,1.400,17.420,2.100,25.760,0.200,2.140
baja_california,2012,32.300,1080.840,39.700,1327.680,3.700,122.120,2.900,95.390,0.100,4.730,1.500,48.740,3.400,114.940,1.800,58.700
baja_california_sur,2012,30.500,214.290,41.400,290.240,17.600,123.690,0.100,1.000,1.300,8.910,1.300,9.280,2.400,17.180,0.400,2.720
campeche,2012,53.800,466.930,28.800,250.430,9.100,78.950,0.400,3.320,2.100,17.940,1.100,9.220,1.400,12.270,0.600,5.240
coahuila,2012,24.400,699.560,60.600,1735.760,6.400,184.360,0.100,3.810,0.100,3.760,1.900,54.440,2.300,66.290,2.600,74.060
colima,2012,39.100,269.600,42.500,293.110,7.600,52.720,0.100,0.720,1.200,8.150,0.800,5.240,1.300,8.720,0.500,3.370
chiapas,2012,61.100,3095.550,10.100,512.250,3.200,162.410,1.800,90.710,0.500,23.020,0.100,7.270,1.000,51.910,0.500,23.730
chihuahua,2012,33.500,1209.250,47.400,1710.330,4.900,178.220,0.100,3.090,0.500,17.790,1.200,45.080,1.800,66.450,6.900,248.450
ciudad_de_mexico,2012,26.000,2305.950,37.300,3309.650,13.100,1165.160,0.000,2.770,1.000,91.730,1.200,108.180,2.000,176.890,1.100,99.300
durango,2012,43.700,749.580,32.700,560.140,10.700,184.270,0.100,2.450,0.400,7.080,0.400,6.080,1.600,27.020,0.000,0.820
guanajuato,2012,47.800,2714.710,31.500,1789.760,4.700,266.550,0.100,3.510,0.100,5.610,0.600,32.400,1.600,92.640,0.300,17.580
guerrero,2012,55.600,1950.060,12.700,445.680,7.500,262.130,0.300,9.960,0.800,26.490,0.100,4.290,1.000,33.310,0.200,6.320
hidalgo,2012,57.000,1583.000,20.000,555.590,7.700,214.000,0.200,6.390,0.600,17.210,0.500,14.960,1.300,36.800,0.800,20.920
jalisco,2012,30.900,2369.180,43.500,3336.010,2.800,217.630,0.000,2.760,0.000,0.990,2.000,153.440,3.400,263.880,0.400,31.900
mexico,2012,34.900,5645.630,31.100,5020.920,4.700,758.480,0.500,73.270,0.400,68.210,0.400,70.940,1.700,277.300,6.600,1068.670
michoacan,2012,45.000,2025.620,20.800,934.520,7.300,329.650,0.100,4.540,0.600,25.320,0.700,31.010,1.300,59.980,0.200,10.980
morelos,2012,44.000,815.630,29.200,542.360,6.300,117.230,1.000,18.100,0.300,6.280,0.300,6.410,1.400,25.820,0.200,3.020
nayarit,2012,48.700,566.060,28.100,327.140,10.400,120.690,0.400,4.380,0.600,7.240,0.600,7.060,1.500,17.600,0.500,5.340
nuevo_leon,2012,21.700,1059.450,57.300,2792.920,3.300,161.130,1.100,55.810,0.400,20.490,3.400,166.600,2.900,141.090,3.500,172.730
oaxaca,2012,59.800,2349.060,12.400,486.570,7.300,287.200,0.200,8.640,1.400,56.860,0.600,21.910,1.100,41.330,0.100,4.040
puebla,2012,48.200,2900.270,19.000,1143.000,2.200,133.410,1.400,84.760,0.500,29.180,0.900,52.320,1.600,95.570,0.400,24.410
queretaro,2012,43.600,835.320,39.300,753.670,4.200,80.700,0.100,1.260,0.200,4.290,1.300,24.540,2.300,43.640,0.400,7.060
quintana_roo,2012,35.600,517.210,38.100,553.230,7.600,110.910,0.100,1.020,0.600,8.710,0.700,9.470,2.400,35.360,0.300,4.340
san_luis_potosi,2012,52.600,1409.380,30.800,826.250,5.100,135.970,0.100,1.370,0.300,6.750,0.800,21.130,1.500,40.000,1.100,29.980
sinaloa,2012,39.300,1145.340,42.300,1230.050,6.200,181.010,1.700,48.660,0.400,11.530,0.800,22.600,1.300,36.750,0.100,2.540
sonora,2012,32.200,909.490,43.600,1228.640,4.700,133.430,7.900,222.010,0.400,10.620,2.100,57.860,2.900,82.100,0.300,8.150
tabasco,2012,52.800,1221.670,17.000,392.320,3.300,75.850,6.600,153.010,5.000,115.540,0.500,12.000,2.000,46.080,0.500,11.510
tamaulipas,2012,38.900,1334.950,37.600,1289.190,6.800,234.760,0.100,3.290,4.800,164.300,0.500,18.020,1.900,63.460,1.800,61.600
tlaxcala,2012,50.900,626.240,21.400,263.650,6.300,77.830,0.400,4.310,0.400,4.570,0.300,3.280,1.600,19.150,0.800,10.110
veracruz,2012,45.700,3591.570,25.000,1965.790,4.300,341.740,0.200,19.570,2.600,202.970,0.500,36.570,1.200,94.210,0.100,10.060
yucatan,2012,45.200,922.200,36.800,751.740,5.000,101.230,0.200,4.440,0.900,18.350,0.900,18.200,1.200,25.180,0.400,9.160
zacatecas,2012,52.000,800.740,28.000,431.090,8.600,131.940,0.000,0.000,0.300,4.840,0.800,11.610,0.900,13.150,0.200,3.720
