estado_1,anio,porc_pob_afiliada_seguro_popular,miles_perso_afiliadas_seguro_popular,porc_pob_afiliada_imss,miles_perso_afilidas_imss,porc_pob_afiliada_issste,miles_perso_afilidas_issste,porc_pob_afiliada_issste_estatal,miles_perso_afilidas_issste_estatal,porc_pob_afiliada_pemex_defensa_o_marina,miles_perso_afiliadas_pemex_defensa_o_marina,porc_pob_seguro_privado_gastos_med,miles_perso_seguro_privado_gastos_med,porc_pob_acces_servicios_med_seg_social_indirect,miles_perso_acces_servicios_med_seg_social_indirect,porc_pob_afiliada_inst_medica_dist_las_ant,miles_perso_afiliadas_inst_medica_dist_las_ant
aguascalientes,2010,31.100,372.570,44.600,534.780,7.700,91.990,0.100,1.690,0.000,0.380,1.200,14.460,2.100,25.200,0.300,4.140
baja_california,2010,18.500,597.510,40.300,1303.660,3.400,109.940,3.900,125.310,0.100,1.700,1.800,59.380,3.900,127.540,1.700,53.420
baja_california_sur,2010,24.200,158.370,41.100,269.390,16.700,109.090,0.100,0.370,1.600,10.420,1.500,9.940,2.400,16.010,0.300,1.900
campeche,2010,45.000,379.330,28.300,238.280,8.800,73.920,0.000,0.000,2.700,23.140,0.800,6.640,1.600,13.520,0.200,1.540
coahuila,2010,14.100,392.190,61.800,1723.100,6.600,185.490,0.500,13.840,0.300,8.350,2.100,58.250,2.500,68.890,3.900,110.000
colima,2010,40.100,265.960,38.100,252.900,7.900,52.130,0.400,2.350,1.100,7.410,0.500,3.110,1.400,9.230,0.500,3.540
chiapas,2010,48.600,2394.240,10.600,520.680,4.200,207.440,1.500,72.800,0.300,14.900,0.100,4.770,1.100,53.790,0.700,32.380
chihuahua,2010,25.500,900.910,45.600,1612.010,5.200,182.180,0.100,2.730,0.200,5.660,1.100,38.010,2.300,80.860,6.100,214.700
ciudad_de_mexico,2010,15.200,1353.040,37.100,3301.160,12.600,1119.610,0.100,5.730,1.200,104.260,1.800,158.530,3.200,288.730,2.300,206.950
durango,2010,32.400,543.440,31.500,528.070,10.500,175.340,0.000,0.440,0.500,8.990,0.300,4.530,1.500,25.760,0.100,1.530
guanajuato,2010,41.000,2285.100,29.700,1652.770,4.600,256.630,0.200,13.550,0.800,43.740,0.300,16.940,1.800,101.720,0.500,27.740
guerrero,2010,41.200,1419.950,11.400,391.960,8.600,298.230,0.100,3.370,0.800,26.340,0.200,8.420,0.800,26.610,0.100,2.330
hidalgo,2010,44.100,1191.300,17.200,464.140,9.100,245.450,0.000,0.150,0.600,15.770,0.200,6.000,1.900,50.990,1.300,36.000
jalisco,2010,23.400,1750.860,41.100,3072.290,2.300,174.330,0.200,16.990,0.100,10.200,1.700,130.550,3.300,242.850,0.500,34.080
mexico,2010,24.400,3819.210,30.900,4842.260,3.500,552.340,6.600,1033.810,0.400,65.230,0.600,90.160,4.800,755.810,1.500,228.090
michoacan,2010,33.900,1500.230,21.500,954.690,5.800,256.610,0.100,4.290,0.100,2.420,0.300,12.740,1.200,52.750,1.600,71.280
morelos,2010,35.000,633.860,28.900,522.480,7.100,128.730,0.000,0.340,0.400,7.540,0.600,10.070,2.000,35.550,0.300,6.030
nayarit,2010,42.200,471.020,27.600,308.140,11.200,124.730,0.600,6.520,0.700,8.000,0.600,6.840,1.400,15.270,0.300,3.860
nuevo_leon,2010,17.700,836.660,55.600,2630.060,2.900,135.830,1.500,71.470,0.500,23.710,3.200,151.780,3.800,179.820,4.200,199.860
oaxaca,2010,42.200,1636.260,11.100,430.460,7.000,271.360,0.400,15.530,1.100,44.390,0.100,3.070,1.200,47.550,0.100,2.810
puebla,2010,31.700,1864.160,22.400,1319.750,2.000,117.860,2.700,158.790,0.700,40.400,0.200,12.980,1.500,89.510,0.800,44.410
queretaro,2010,37.100,686.670,36.400,673.680,4.000,73.670,0.300,6.180,0.200,3.290,0.800,14.520,2.400,43.780,0.600,11.720
quintana_roo,2010,27.400,372.760,40.100,545.970,7.200,97.730,0.100,1.350,0.500,7.150,1.300,17.960,3.300,45.610,0.100,1.880
san_luis_potosi,2010,41.800,1097.550,34.600,908.800,6.800,178.130,0.100,3.460,0.200,4.370,1.500,40.250,1.900,50.230,1.300,34.070
sinaloa,2010,30.700,877.180,42.000,1199.820,8.000,227.490,1.600,46.630,0.100,4.080,0.400,10.390,1.600,46.660,3.100,89.550
sonora,2010,22.000,600.710,44.900,1225.180,4.500,121.760,7.500,203.520,0.300,9.440,1.900,51.340,3.700,99.690,0.600,16.020
tabasco,2010,50.700,1146.540,16.000,361.440,3.200,71.740,6.200,140.280,3.500,78.160,0.300,6.490,1.700,38.830,0.400,8.870
tamaulipas,2010,28.000,934.960,40.400,1349.270,6.300,212.040,0.100,1.740,4.500,150.560,0.600,18.530,2.300,76.460,2.400,80.050
tlaxcala,2010,38.900,464.200,21.700,258.530,7.200,85.520,0.100,0.660,0.300,3.810,0.200,2.690,1.700,20.070,0.500,6.260
veracruz,2010,34.800,2688.630,23.200,1791.990,3.300,256.430,0.400,27.290,4.200,326.620,0.100,10.870,1.700,133.880,0.600,48.570
yucatan,2010,34.100,675.770,40.800,808.510,4.400,87.690,0.400,7.810,0.500,10.810,0.600,12.350,1.700,33.880,1.700,32.820
zacatecas,2010,43.300,654.690,26.300,398.490,6.900,105.070,0.000,0.360,0.100,1.820,0.300,5.270,1.400,21.680,0.000,0.620
