Id,Estado,pobreza_profundidad_2008,pobreza_profundidad_2009,pobreza_profundidad_2010,pobreza_profundidad_2011,pobreza_profundidad_2012,pobreza_profundidad_2013,pobreza_profundidad_2014,pobreza_profundidad_2015,pobreza_profundidad_2016,pobreza_profundidad_2017,pobreza_profundidad_2018,pobreza_intensidad_2008,pobreza_intensidad_2009,pobreza_intensidad_2010,pobreza_intensidad_2011,pobreza_intensidad_2012,pobreza_intensidad_2013,pobreza_intensidad_2014,pobreza_intensidad_2015,pobreza_intensidad_2016,pobreza_intensidad_2017,pobreza_intensidad_2018,pobreza_extrema_profundidad_2008,pobreza_extrema_profundidad_2009,pobreza_extrema_profundidad_2010,pobreza_extrema_profundidad_2011,pobreza_extrema_profundidad_2012,pobreza_extrema_profundidad_2013,pobreza_extrema_profundidad_2014,pobreza_extrema_profundidad_2015,pobreza_extrema_profundidad_2016,pobreza_extrema_profundidad_2017,pobreza_extrema_profundidad_2018,pobreza_extrema_intensidad_2008,pobreza_extrema_intensidad_2009,pobreza_extrema_intensidad_2010,pobreza_extrema_intensidad_2011,pobreza_extrema_intensidad_2012,pobreza_extrema_intensidad_2013,pobreza_extrema_intensidad_2014,pobreza_extrema_intensidad_2015,pobreza_extrema_intensidad_2016,pobreza_extrema_intensidad_2017,pobreza_extrema_intensidad_2018
21,Puebla,3.05,2.945,2.84,2.7199999999999998,2.6,2.505,2.41,2.295,2.18,2.18,2.18,0.33,0.31,0.29,0.28500000000000003,0.28,0.27,0.26,0.24,0.22,0.215,0.21,4.01,3.98,3.95,3.8200000000000003,3.69,3.635,3.58,3.5549999999999997,3.53,3.545,3.56,0.13,0.12,0.11,0.11,0.11,0.10500000000000001,0.1,0.07500000000000001,0.05,0.05,0.05
22,Queretaro,2.33,2.285,2.24,2.18,2.12,2.06,2.0,1.94,1.88,1.88,1.88,0.14,0.14500000000000002,0.15,0.14,0.13,0.12,0.11,0.10500000000000001,0.1,0.095,0.09,3.77,3.66,3.55,3.5549999999999997,3.56,3.565,3.57,3.525,3.48,3.465,3.45,0.03,0.035,0.04,0.035,0.03,0.025,0.02,0.02,0.02,0.015,0.01
23,Quintana Roo,2.67,2.5549999999999997,2.44,2.385,2.33,2.325,2.32,2.295,2.27,2.315,2.36,0.15,0.14500000000000002,0.14,0.14500000000000002,0.15,0.14500000000000002,0.14,0.125,0.11,0.11,0.11,3.86,3.7199999999999998,3.58,3.565,3.55,3.52,3.49,3.475,3.46,3.525,3.59,0.05,0.045,0.04,0.045,0.05,0.045,0.04,0.03,0.02,0.02,0.02
24,San Luis Potosi,2.83,2.73,2.63,2.525,2.42,2.315,2.21,2.16,2.11,2.075,2.04,0.24,0.235,0.23,0.21500000000000002,0.2,0.19,0.18,0.16999999999999998,0.16,0.155,0.15,3.89,3.83,3.77,3.7199999999999998,3.67,3.625,3.58,3.5300000000000002,3.48,3.46,3.44,0.1,0.1,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04
25,Sinaloa,2.51,2.365,2.22,2.205,2.19,2.21,2.23,2.1550000000000002,2.08,2.1100000000000003,2.14,0.14,0.14,0.14,0.135,0.13,0.14,0.15,0.13,0.11,0.11,0.11,3.88,3.76,3.64,3.675,3.71,3.615,3.52,3.615,3.71,3.725,3.74,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.025,0.02,0.02,0.02
26,Sonora,2.41,2.4050000000000002,2.4,2.3200000000000003,2.24,2.125,2.01,2.0199999999999996,2.03,2.0,1.97,0.11,0.12,0.13,0.12,0.11,0.10500000000000001,0.1,0.095,0.09,0.09,0.09,3.71,3.75,3.79,3.715,3.64,3.51,3.38,3.435,3.49,3.505,3.52,0.03,0.03,0.03,0.03,0.03,0.025,0.02,0.015,0.01,0.015,0.02
27,Tabasco,2.67,2.675,2.68,2.705,2.73,2.6799999999999997,2.63,2.585,2.54,2.54,2.54,0.24,0.245,0.25,0.24,0.23,0.225,0.22,0.22,0.22,0.225,0.23,3.66,3.66,3.66,3.63,3.6,3.605,3.61,3.5549999999999997,3.5,3.4850000000000003,3.47,0.1,0.09,0.08,0.08499999999999999,0.09,0.08,0.07,0.07,0.07,0.07,0.07
28,Tamaulipas,2.19,2.145,2.1,2.06,2.02,2.0,1.98,1.925,1.87,1.8250000000000002,1.78,0.12,0.13,0.14,0.135,0.13,0.13,0.13,0.115,0.1,0.1,0.1,3.5,3.54,3.58,3.5700000000000003,3.56,3.4699999999999998,3.38,3.34,3.3,3.375,3.45,0.03,0.03,0.03,0.03,0.03,0.025,0.02,0.02,0.02,0.02,0.02
29,Tlaxcala,2.34,2.2800000000000002,2.22,2.1900000000000004,2.16,2.035,1.91,1.85,1.79,1.81,1.83,0.23,0.225,0.22,0.215,0.21,0.2,0.19,0.175,0.16,0.155,0.15,3.6,3.56,3.52,3.535,3.55,3.5149999999999997,3.48,3.3899999999999997,3.3,3.275,3.25,0.06,0.06,0.06,0.055,0.05,0.045,0.04,0.035,0.03,0.025,0.02
30,Veracruz,3.21,3.05,2.89,2.805,2.72,2.6950000000000003,2.67,2.5700000000000003,2.47,2.4800000000000004,2.49,0.27,0.275,0.28,0.26,0.24,0.25,0.26,0.26,0.26,0.26,0.26,4.08,3.9699999999999998,3.86,3.8049999999999997,3.75,3.71,3.67,3.61,3.55,3.565,3.58,0.11,0.11499999999999999,0.12,0.105,0.09,0.095,0.1,0.1,0.1,0.10500000000000001,0.11
31,Yucatan,2.82,2.745,2.67,2.66,2.65,2.55,2.45,2.4050000000000002,2.36,2.365,2.37,0.22,0.22,0.22,0.22,0.22,0.20500000000000002,0.19,0.175,0.16,0.16,0.16,3.86,3.84,3.82,3.76,3.7,3.665,3.63,3.63,3.63,3.59,3.55,0.06,0.065,0.07,0.065,0.06,0.06,0.06,0.05,0.04,0.04,0.04
32,Zacatecas,2.28,2.2199999999999998,2.16,2.055,1.95,1.885,1.82,1.745,1.67,1.685,1.7,0.19,0.20500000000000002,0.22,0.2,0.18,0.16999999999999998,0.16,0.15000000000000002,0.14,0.135,0.13,3.64,3.56,3.48,3.425,3.37,3.3600000000000003,3.35,3.295,3.24,3.295,3.35,0.06,0.06,0.06,0.05,0.04,0.035,0.03,0.025,0.02,0.02,0.02
