Entidadfederativa,Periodo,Porcentajedelapoblaciónderechohabiente,Poblaciónde15añosymásderechohabiente,Poblacióntotal
Aguascalientes,2009,52.630,600328,1140673
"Baja California",2009,51.590,1629417,3158547
"Baja California Sur",2009,60.930,343755,564156
Campeche,2009,42.600,338767,795165
"Coahuila de Zaragoza",2009,69.570,1827544,2626733
Colima,2009,48.900,293515,600218
Chiapas,2009,19.580,881818,4503461
Chihuahua,2009,52.570,1781600,3389023
"Ciudad de México",2009,55.110,4872940,8841522
Durango,2009,49.390,765556,1549964
Guanajuato,2009,35.760,1803115,5042360
Guerrero,2009,21.940,689082,3140838
Hidalgo,2009,26.820,649208,2420538
Jalisco,2009,46.630,3269418,7011713
México,2009,44.060,6530336,14820917
"Michoacán de Ocampo",2009,30.300,1201386,3964721
Morelos,2009,36.380,608947,1673788
Nayarit,2009,40.790,395228,968840
"Nuevo León",2009,64.530,2867284,4443332
Oaxaca,2009,18.500,656972,3551193
Puebla,2009,24.400,1377521,5646697
Querétaro,2009,46.080,791388,1717516
"Quintana Roo",2009,50.650,663556,1309967
"San Luis Potosí",2009,38.460,955232,2484000
Sinaloa,2009,50.370,1336229,2652655
Sonora,2009,58.040,1456060,2508563
Tabasco,2009,34.810,713480,2049791
Tamaulipas,2009,51.200,1633134,3189933
Tlaxcala,2009,26.370,298943,1133801
"Veracruz de Ignacio de la Llave",2009,33.910,2467826,7277609
Yucatán,2009,46.090,884815,1919908
Zacatecas,2009,31.910,440252,1379577
Hombres,2009,41.300,21572473,52231855
Mujeres,2009,42.450,23452179,55245864
"De 15 a 19 años",2009,36.400,3939922,10824020
"De 20 a 24 años",2009,38.410,3458091,9003513
"De 25 a 29 años",2009,41.340,3240022,7837888
"De 30 a 34 años",2009,42.560,3288411,7726228
"De 35 a 39 años",2009,43.830,3436135,7839628
"De 40 a 44 años",2009,45.740,3210182,7018172
"De 45 a 49 años",2009,45.910,2827403,6158738
"De 50 a 54 años",2009,49.390,2560425,5184238
"De 55 a 59 años",2009,50.940,2037595,3999882
"De 60 a 64 años",2009,54.770,1770850,3233095
"De 65 años y más",2009,53.790,4005575,7447291
"Población menor de 65",2009,41.010,41018606,100028866
"Población de 65 y más",2009,53.790,4005575,7447291
