Entidadfederativa,Periodo,Porcentajedelapoblaciónderechohabiente,Poblaciónde15añosymásderechohabiente,Poblacióntotal
Aguascalientes,2017,58.230,772696,1327014
"Baja California",2017,59.090,2119034,3585940
"Baja California Sur",2017,63.040,504293,799968
Campeche,2017,38.430,361394,940478
"Coahuila de Zaragoza",2017,73.690,2253630,3058126
Colima,2017,55.380,413665,746957
Chiapas,2017,18.790,1004931,5348199
Chihuahua,2017,62.850,2405560,3827750
"Ciudad de México",2017,55.280,4896597,8858082
Durango,2017,47.070,849546,1804735
Guanajuato,2017,46.550,2788374,5990596
Guerrero,2017,23.600,865416,3666714
Hidalgo,2017,29.780,879986,2955299
Jalisco,2017,51.970,4184888,8053107
México,2017,47.530,8203579,17261272
"Michoacán de Ocampo",2017,28.320,1342693,4740634
Morelos,2017,37.910,741806,1956579
Nayarit,2017,46.730,596941,1277384
"Nuevo León",2017,69.850,3673463,5258983
Oaxaca,2017,20.860,849531,4072226
Puebla,2017,25.300,1579075,6242122
Querétaro,2017,45.620,953586,2090091
"Quintana Roo",2017,51.850,864878,1668132
"San Luis Potosí",2017,43.140,1199852,2781200
Sinaloa,2017,58.260,1764550,3028648
Sonora,2017,62.270,1902391,3054857
Tabasco,2017,30.540,746841,2445535
Tamaulipas,2017,55.820,2004333,3590412
Tlaxcala,2017,33.580,437348,1302375
"Veracruz de Ignacio de la Llave",2017,34.250,2800624,8176062
Yucatán,2017,46.900,1000984,2134486
Zacatecas,2017,35.840,577624,1611789
Hombres,2017,44.750,26767130,59819364
Mujeres,2017,45.070,28772979,63836388
"De 15 a 19 años",2017,41.410,4789191,11566168
"De 20 a 24 años",2017,44.160,4470992,10124422
"De 25 a 29 años",2017,44.640,4134753,9261616
"De 30 a 34 años",2017,46.120,3919938,8499111
"De 35 a 39 años",2017,45.530,3857110,8472297
"De 40 a 44 años",2017,45.940,4004575,8716482
"De 45 a 49 años",2017,47.060,3597849,7645037
"De 50 a 54 años",2017,48.370,3324079,6871783
"De 55 a 59 años",2017,51.320,2885601,5622653
"De 60 a 64 años",2017,55.250,2544770,4605845
"De 65 años y más",2017,55.780,5649152,10127915
"Población menor de 65",2017,43.940,49882529,113518627
"Población de 65 y más",2017,55.780,5649152,10127915
