Entidadfederativa,Periodo,Porcentajedelapoblaciónderechohabiente,Poblaciónde15añosymásderechohabiente,Poblacióntotal
Aguascalientes,2004,55.870,574232,1027713
"Baja California",2004,53.590,1621408,3025858
"Baja California Sur",2004,61.900,295499,477376
Campeche,2004,38.310,282745,738031
"Coahuila de Zaragoza",2004,69.540,1680268,2416186
Colima,2004,51.460,316141,614361
Chiapas,2004,17.320,741384,4280861
Chihuahua,2004,58.880,1975086,3354357
"Ciudad de México",2004,55.230,4789824,8672709
Durango,2004,45.350,659135,1453569
Guanajuato,2004,37.380,1832232,4902085
Guerrero,2004,21.410,692179,3233180
Hidalgo,2004,25.060,588621,2349277
Jalisco,2004,43.740,2901428,6632944
México,2004,47.200,7015381,14862084
"Michoacán de Ocampo",2004,25.750,1049647,4076224
Morelos,2004,36.130,610292,1689167
Nayarit,2004,41.670,389608,934939
"Nuevo León",2004,66.700,2751392,4124729
Oaxaca,2004,20.860,758059,3633903
Puebla,2004,23.510,1317640,5605475
Querétaro,2004,43.480,684109,1573536
"Quintana Roo",2004,49.960,546342,1093539
"San Luis Potosí",2004,36.520,870594,2384196
Sinaloa,2004,51.560,1355652,2629264
Sonora,2004,57.740,1351065,2339714
Tabasco,2004,33.460,680363,2033287
Tamaulipas,2004,54.460,1625922,2985676
Tlaxcala,2004,30.730,320303,1042432
"Veracruz de Ignacio de la Llave",2004,30.800,2163067,7022840
Yucatán,2004,45.820,803624,1753876
Zacatecas,2004,30.190,409607,1356849
Hombres,2004,41.270,20705354,50168311
Mujeres,2004,42.380,22947495,54151926
"De 15 a 19 años",2004,36.980,3925030,10614264
"De 20 a 24 años",2004,40.890,3691968,9028599
"De 25 a 29 años",2004,44.260,3482121,7866908
"De 30 a 34 años",2004,45.340,3530430,7786286
"De 35 a 39 años",2004,45.060,3196646,7093553
"De 40 a 44 años",2004,46.120,2983239,6468846
"De 45 a 49 años",2004,47.660,2538531,5326251
"De 50 a 54 años",2004,46.260,2086255,4509568
"De 55 a 59 años",2004,47.530,1605514,3377807
"De 60 a 64 años",2004,49.800,1444971,2901343
"De 65 años y más",2004,48.150,3005397,6241434
"Población menor de 65",2004,41.440,40647452,98078803
"Población de 65 y más",2004,48.150,3005397,6241434
