estado_1,anio,porc_pob_seguridad_aliment,miles_perso_seguridad_aliment,porc_pob_inseguridad_aliment_leve,miles_perso_inseguridad_aliment_leve,porc_pob_inseguridad_aliment_moderada,miles_perso_inseguridad_aliment_moderada,porc_pob_inseguridad_aliment_severa,miles_perso_inseguridad_aliment_severa
aguascalientes,2010,61.300,734.590,18.500,221.310,10.900,130.630,9.300,111.550
baja_california,2010,72.900,2357.930,10.800,348.060,8.700,282.040,7.600,247.350
baja_california_sur,2010,57.800,378.670,16.100,105.700,12.300,80.670,13.700,89.800
campeche,2010,49.600,417.680,19.200,161.820,16.300,137.090,14.900,125.500
coahuila,2010,59.500,1661.260,19.700,549.280,11.200,312.950,9.600,266.540
colima,2010,63.800,423.340,16.400,108.550,12.300,81.450,7.600,50.370
chiapas,2010,45.200,2224.660,24.500,1208.370,16.900,833.020,13.400,660.230
chihuahua,2010,70.200,2482.640,12.100,426.810,8.600,303.060,9.100,321.870
ciudad_de_mexico,2010,70.800,6292.290,13.700,1214.980,7.900,697.930,7.700,683.330
durango,2010,63.900,1071.110,15.800,264.920,10.100,169.170,10.200,170.350
guanajuato,2010,59.300,3306.930,16.900,943.070,13.500,752.850,10.200,570.460
guerrero,2010,30.400,1047.490,26.900,929.230,26.200,902.600,16.500,568.860
hidalgo,2010,47.500,1283.100,23.500,635.110,16.900,456.810,12.100,326.820
jalisco,2010,57.100,4263.670,20.900,1560.080,12.300,920.710,9.700,722.940
mexico,2010,48.500,7597.050,19.900,3112.950,20.400,3187.370,11.200,1751.550
michoacan,2010,49.100,2177.320,22.000,975.460,15.800,701.030,13.000,576.890
morelos,2010,58.200,1052.400,19.900,359.130,13.900,251.000,8.100,146.270
nayarit,2010,54.500,607.450,21.900,244.240,12.600,140.210,11.100,123.360
nuevo_leon,2010,67.900,3211.020,16.500,779.500,7.800,368.620,7.900,372.280
oaxaca,2010,48.200,1866.490,25.500,986.450,15.500,599.980,10.900,422.820
puebla,2010,46.000,2708.460,26.400,1552.360,16.300,956.800,11.300,664.110
queretaro,2010,57.200,1058.660,21.600,399.690,13.400,248.770,7.800,145.060
quintana_roo,2010,57.700,786.720,20.400,278.500,13.000,176.580,8.800,120.510
san_luis_potosi,2010,48.900,1283.610,21.000,551.270,14.400,377.630,15.700,412.090
sinaloa,2010,55.500,1587.400,20.000,571.170,13.800,394.050,10.700,307.170
sonora,2010,57.400,1566.600,16.800,459.670,10.600,288.500,15.200,415.800
tabasco,2010,51.000,1153.800,15.700,354.680,15.500,350.050,17.800,403.620
tamaulipas,2010,72.800,2431.510,13.600,455.380,7.300,243.030,6.300,211.950
tlaxcala,2010,54.500,650.210,21.300,254.000,14.200,169.770,9.900,118.100
veracruz,2010,53.800,4154.150,20.100,1553.840,14.100,1088.990,12.000,927.970
yucatan,2010,57.700,1145.260,20.900,414.140,14.300,282.940,7.100,141.380
zacatecas,2010,54.600,826.010,20.500,310.340,12.700,191.920,12.200,184.660
