Id,Estado,porc_pob_seguridad_aliment_2008,porc_pob_seguridad_aliment_2009,porc_pob_seguridad_aliment_2010,porc_pob_seguridad_aliment_2011,porc_pob_seguridad_aliment_2012,porc_pob_seguridad_aliment_2013,porc_pob_seguridad_aliment_2014,porc_pob_seguridad_aliment_2015,porc_pob_seguridad_aliment_2016,porc_pob_seguridad_aliment_2017,porc_pob_seguridad_aliment_2018,miles_perso_seguridad_aliment_2008,miles_perso_seguridad_aliment_2009,miles_perso_seguridad_aliment_2010,miles_perso_seguridad_aliment_2011,miles_perso_seguridad_aliment_2012,miles_perso_seguridad_aliment_2013,miles_perso_seguridad_aliment_2014,miles_perso_seguridad_aliment_2015,miles_perso_seguridad_aliment_2016,miles_perso_seguridad_aliment_2017,miles_perso_seguridad_aliment_2018,porc_pob_inseguridad_aliment_leve_2008,porc_pob_inseguridad_aliment_leve_2009,porc_pob_inseguridad_aliment_leve_2010,porc_pob_inseguridad_aliment_leve_2011,porc_pob_inseguridad_aliment_leve_2012,porc_pob_inseguridad_aliment_leve_2013,porc_pob_inseguridad_aliment_leve_2014,porc_pob_inseguridad_aliment_leve_2015,porc_pob_inseguridad_aliment_leve_2016,porc_pob_inseguridad_aliment_leve_2017,porc_pob_inseguridad_aliment_leve_2018,miles_perso_inseguridad_aliment_leve_2008,miles_perso_inseguridad_aliment_leve_2009,miles_perso_inseguridad_aliment_leve_2010,miles_perso_inseguridad_aliment_leve_2011,miles_perso_inseguridad_aliment_leve_2012,miles_perso_inseguridad_aliment_leve_2013,miles_perso_inseguridad_aliment_leve_2014,miles_perso_inseguridad_aliment_leve_2015,miles_perso_inseguridad_aliment_leve_2016,miles_perso_inseguridad_aliment_leve_2017,miles_perso_inseguridad_aliment_leve_2018,porc_pob_inseguridad_aliment_moderada_2008,porc_pob_inseguridad_aliment_moderada_2009,porc_pob_inseguridad_aliment_moderada_2010,porc_pob_inseguridad_aliment_moderada_2011,porc_pob_inseguridad_aliment_moderada_2012,porc_pob_inseguridad_aliment_moderada_2013,porc_pob_inseguridad_aliment_moderada_2014,porc_pob_inseguridad_aliment_moderada_2015,porc_pob_inseguridad_aliment_moderada_2016,porc_pob_inseguridad_aliment_moderada_2017,porc_pob_inseguridad_aliment_moderada_2018,miles_perso_inseguridad_aliment_moderada_2008,miles_perso_inseguridad_aliment_moderada_2009,miles_perso_inseguridad_aliment_moderada_2010,miles_perso_inseguridad_aliment_moderada_2011,miles_perso_inseguridad_aliment_moderada_2012,miles_perso_inseguridad_aliment_moderada_2013,miles_perso_inseguridad_aliment_moderada_2014,miles_perso_inseguridad_aliment_moderada_2015,miles_perso_inseguridad_aliment_moderada_2016,miles_perso_inseguridad_aliment_moderada_2017,miles_perso_inseguridad_aliment_moderada_2018,porc_pob_inseguridad_aliment_severa_2008,porc_pob_inseguridad_aliment_severa_2009,porc_pob_inseguridad_aliment_severa_2010,porc_pob_inseguridad_aliment_severa_2011,porc_pob_inseguridad_aliment_severa_2012,porc_pob_inseguridad_aliment_severa_2013,porc_pob_inseguridad_aliment_severa_2014,porc_pob_inseguridad_aliment_severa_2015,porc_pob_inseguridad_aliment_severa_2016,porc_pob_inseguridad_aliment_severa_2017,porc_pob_inseguridad_aliment_severa_2018,miles_perso_inseguridad_aliment_severa_2008,miles_perso_inseguridad_aliment_severa_2009,miles_perso_inseguridad_aliment_severa_2010,miles_perso_inseguridad_aliment_severa_2011,miles_perso_inseguridad_aliment_severa_2012,miles_perso_inseguridad_aliment_severa_2013,miles_perso_inseguridad_aliment_severa_2014,miles_perso_inseguridad_aliment_severa_2015,miles_perso_inseguridad_aliment_severa_2016,miles_perso_inseguridad_aliment_severa_2017,miles_perso_inseguridad_aliment_severa_2018
11,Guanajuato,49.5,54.4,59.3,55.349999999999994,51.4,55.45,59.5,59.95,60.4,61.45,62.5,2698.45,3002.6899999999996,3306.93,3112.935,2918.94,3174.09,3429.24,3488.795,3548.35,3638.465,3728.58,23.4,20.15,16.9,18.5,20.1,18.85,17.6,18.75,19.9,18.35,16.8,1278.91,1110.99,943.07,1043.69,1144.31,1078.24,1012.17,1089.605,1167.04,1084.595,1002.15,17.0,15.25,13.5,13.6,13.7,13.85,14.0,12.75,11.5,11.75,12.0,924.74,838.7950000000001,752.85,766.2850000000001,779.72,792.0699999999999,804.42,739.89,675.36,694.845,714.33,10.1,10.149999999999999,10.2,12.45,14.7,11.85,9.0,8.65,8.3,8.5,8.7,553.28,561.87,570.46,703.905,837.35,677.6,517.85,502.315,486.78,503.34499999999997,519.91
12,Guerrero,31.3,30.85,30.4,29.85,29.3,32.35,35.4,40.55,45.7,41.0,36.3,1059.78,1053.635,1047.49,1037.99,1028.49,1142.99,1257.49,1449.115,1640.74,1479.7150000000001,1318.69,34.7,30.8,26.9,29.049999999999997,31.2,28.65,26.1,26.3,26.5,27.3,28.1,1177.57,1053.4,929.23,1011.78,1094.33,1010.8499999999999,927.37,940.085,952.8,986.41,1020.02,22.0,24.1,26.2,24.95,23.7,22.6,21.5,19.05,16.6,18.55,20.5,744.95,823.7750000000001,902.6,866.0,829.4,795.815,762.23,678.625,595.02,669.075,743.13,12.0,14.25,16.5,16.15,15.8,16.4,17.0,14.15,11.3,13.2,15.1,406.79,487.82500000000005,568.86,560.86,552.86,578.0250000000001,603.19,504.255,405.32,476.26,547.2
13,Hidalgo,47.4,47.45,47.5,48.8,50.1,48.6,47.1,48.3,49.5,51.65,53.8,1240.68,1261.8899999999999,1283.1,1337.6399999999999,1392.18,1366.825,1341.47,1393.725,1445.98,1526.6399999999999,1607.3,28.7,26.1,23.5,24.2,24.9,23.1,21.3,23.65,26.0,24.75,23.5,750.08,692.595,635.11,663.385,691.66,648.73,605.8,683.3299999999999,760.86,732.04,703.22,15.0,15.95,16.9,15.899999999999999,14.9,16.7,18.5,17.45,16.4,15.399999999999999,14.4,392.37,424.59000000000003,456.81,435.935,415.06,470.65,526.24,502.91499999999996,479.59,454.955,430.32,8.9,10.5,12.1,11.05,10.0,11.6,13.2,10.6,8.0,8.15,8.3,232.96,279.89,326.82,302.84000000000003,278.86,327.82500000000005,376.79,305.895,235.0,242.225,249.45
14,Jalisco,60.5,58.8,57.1,58.6,60.1,64.3,68.5,67.75,67.0,68.45,69.9,4381.74,4322.705,4263.67,4437.005,4610.34,4997.280000000001,5384.22,5388.055,5391.89,5567.77,5743.65,21.6,21.25,20.9,20.1,19.3,17.15,15.0,16.3,17.6,16.3,15.0,1564.91,1562.495,1560.08,1518.905,1477.73,1327.495,1177.26,1297.0549999999998,1416.85,1326.7649999999999,1236.68,10.2,11.25,12.3,12.350000000000001,12.4,10.850000000000001,9.3,9.65,10.0,9.5,9.0,741.28,830.995,920.71,933.935,947.16,838.035,728.91,768.5550000000001,808.2,772.895,737.59,7.6,8.649999999999999,9.7,9.0,8.3,7.800000000000001,7.3,6.35,5.4,5.75,6.1,553.48,638.21,722.94,677.815,632.69,601.53,570.37,501.03499999999997,431.7,468.24,504.78
15,Mexico,55.1,51.8,48.5,54.3,60.1,59.900000000000006,59.7,58.55,57.4,58.75,60.1,8318.31,7957.68,7597.05,8652.685,9708.32,9827.76,9947.2,9909.865000000002,9872.53,10246.615000000002,10620.7,23.7,21.799999999999997,19.9,21.1,22.3,20.65,19.0,20.4,21.8,20.9,20.0,3579.38,3346.165,3112.95,3356.27,3599.59,3387.5950000000003,3175.6,3460.5299999999997,3745.46,3642.85,3540.24,13.8,17.1,20.4,16.35,12.3,12.4,12.5,12.7,12.9,12.350000000000001,11.8,2082.3,2634.835,3187.37,2589.01,1990.65,2038.345,2086.04,2150.855,2215.67,2152.08,2088.49,7.4,9.3,11.2,8.3,5.4,7.1000000000000005,8.8,8.350000000000001,7.9,7.95,8.0,1119.49,1435.52,1751.55,1309.475,867.4,1165.825,1464.25,1410.6599999999999,1357.07,1387.21,1417.35
16,Michoacan,43.7,46.400000000000006,49.1,49.2,49.3,46.25,43.2,47.35,51.5,54.45,57.4,1899.25,2038.285,2177.32,2199.2799999999997,2221.24,2098.755,1976.27,2182.285,2388.3,2540.785,2693.27,24.5,23.25,22.0,20.2,18.4,20.25,22.1,22.35,22.6,22.1,21.6,1063.8,1019.63,975.46,902.955,830.45,920.6400000000001,1010.83,1028.605,1046.38,1029.8200000000002,1013.26,19.0,17.4,15.8,17.1,18.4,18.4,18.4,16.35,14.3,13.65,13.0,828.02,764.525,701.03,764.63,828.23,834.46,840.69,752.655,664.62,637.0,609.38,12.8,12.9,13.0,13.4,13.8,15.05,16.3,13.95,11.6,9.85,8.1,555.54,566.2149999999999,576.89,599.5899999999999,622.29,683.12,743.95,640.685,537.42,458.395,379.37
17,Morelos,45.4,51.8,58.2,51.25,44.3,46.2,48.1,52.650000000000006,57.2,55.45,53.7,797.66,925.03,1052.4,937.355,822.31,868.015,913.72,1014.8050000000001,1115.89,1093.39,1070.89,29.6,24.75,19.9,22.45,25.0,25.05,25.1,24.200000000000003,23.3,22.5,21.7,519.69,439.41,359.13,411.28499999999997,463.44,470.175,476.91,465.18,453.45,443.15,432.85,16.2,15.05,13.9,16.3,18.7,16.9,15.1,14.35,13.6,14.55,15.5,284.6,267.8,251.0,299.08500000000004,347.17,316.78,286.39,275.71,265.03,287.375,309.72,8.8,8.45,8.1,10.05,12.0,11.9,11.8,8.850000000000001,5.9,7.5,9.1,154.46,150.365,146.27,184.57,222.87,223.465,224.06,169.575,115.09,147.88,180.67
18,Nayarit,59.5,57.0,54.5,51.0,47.5,51.0,54.5,56.25,58.0,60.65,63.3,632.49,619.97,607.45,579.8900000000001,552.33,605.165,658.0,692.55,727.1,774.1800000000001,821.26,22.4,22.15,21.9,22.799999999999997,23.7,22.5,21.3,21.65,22.0,19.9,17.8,237.98,241.11,244.24,259.82500000000005,275.41,266.495,257.58,266.81,276.04,253.28000000000003,230.52,9.9,11.25,12.6,13.8,15.0,14.45,13.9,12.95,12.0,11.3,10.6,105.73,122.97,140.21,157.435,174.66,171.095,167.53,158.975,150.42,143.75,137.08,8.2,9.649999999999999,11.1,12.45,13.8,12.05,10.3,9.100000000000001,7.9,8.100000000000001,8.3,87.65,105.505,123.36,141.63,159.9,141.835,123.77,111.52,99.27,103.685,108.1
19,Nuevo Leon,73.0,70.45,67.9,66.85,65.8,70.05,74.3,72.8,71.3,73.15,75.0,3334.58,3272.8,3211.02,3207.665,3204.31,3466.785,3729.26,3711.915,3694.57,3842.01,3989.45,16.3,16.4,16.5,16.55,16.6,14.100000000000001,11.6,12.95,14.3,13.55,12.8,743.3,761.4,779.5,794.2,808.9,695.23,581.56,660.615,739.67,711.31,682.95,5.4,6.6,7.8,8.55,9.3,8.4,7.5,7.5,7.5,7.1,6.7,247.72,308.17,368.62,411.865,455.11,416.34000000000003,377.57,382.265,386.96,372.935,358.91,5.3,6.6,7.9,8.100000000000001,8.3,7.45,6.6,6.75,6.9,6.15,5.4,243.72,308.0,372.28,388.61,404.94,369.14,333.34,345.525,357.71,323.85,289.99
20,Oaxaca,38.7,43.45,48.2,44.6,41.0,38.8,36.6,38.7,40.8,41.7,42.6,1474.03,1670.26,1866.49,1738.31,1610.13,1535.1350000000002,1460.14,1555.83,1651.52,1697.7649999999999,1744.01,32.7,29.1,25.5,26.45,27.4,27.35,27.3,27.55,27.8,28.65,29.5,1246.89,1116.67,986.45,1031.22,1075.99,1082.345,1088.7,1106.3899999999999,1124.08,1164.615,1205.15,15.0,15.25,15.5,16.9,18.3,19.85,21.4,20.0,18.6,17.55,16.5,572.16,586.0699999999999,599.98,659.98,719.98,786.655,853.33,803.4000000000001,753.47,714.455,675.44,13.6,12.25,10.9,12.100000000000001,13.3,14.0,14.7,13.7,12.7,12.05,11.4,516.5,469.65999999999997,422.82,473.725,524.63,555.7950000000001,586.96,551.175,515.39,491.09000000000003,466.79
