Id,Estado,porc_pob_seguridad_aliment_2008,porc_pob_seguridad_aliment_2009,porc_pob_seguridad_aliment_2010,porc_pob_seguridad_aliment_2011,porc_pob_seguridad_aliment_2012,porc_pob_seguridad_aliment_2013,porc_pob_seguridad_aliment_2014,porc_pob_seguridad_aliment_2015,porc_pob_seguridad_aliment_2016,porc_pob_seguridad_aliment_2017,porc_pob_seguridad_aliment_2018,miles_perso_seguridad_aliment_2008,miles_perso_seguridad_aliment_2009,miles_perso_seguridad_aliment_2010,miles_perso_seguridad_aliment_2011,miles_perso_seguridad_aliment_2012,miles_perso_seguridad_aliment_2013,miles_perso_seguridad_aliment_2014,miles_perso_seguridad_aliment_2015,miles_perso_seguridad_aliment_2016,miles_perso_seguridad_aliment_2017,miles_perso_seguridad_aliment_2018,porc_pob_inseguridad_aliment_leve_2008,porc_pob_inseguridad_aliment_leve_2009,porc_pob_inseguridad_aliment_leve_2010,porc_pob_inseguridad_aliment_leve_2011,porc_pob_inseguridad_aliment_leve_2012,porc_pob_inseguridad_aliment_leve_2013,porc_pob_inseguridad_aliment_leve_2014,porc_pob_inseguridad_aliment_leve_2015,porc_pob_inseguridad_aliment_leve_2016,porc_pob_inseguridad_aliment_leve_2017,porc_pob_inseguridad_aliment_leve_2018,miles_perso_inseguridad_aliment_leve_2008,miles_perso_inseguridad_aliment_leve_2009,miles_perso_inseguridad_aliment_leve_2010,miles_perso_inseguridad_aliment_leve_2011,miles_perso_inseguridad_aliment_leve_2012,miles_perso_inseguridad_aliment_leve_2013,miles_perso_inseguridad_aliment_leve_2014,miles_perso_inseguridad_aliment_leve_2015,miles_perso_inseguridad_aliment_leve_2016,miles_perso_inseguridad_aliment_leve_2017,miles_perso_inseguridad_aliment_leve_2018,porc_pob_inseguridad_aliment_moderada_2008,porc_pob_inseguridad_aliment_moderada_2009,porc_pob_inseguridad_aliment_moderada_2010,porc_pob_inseguridad_aliment_moderada_2011,porc_pob_inseguridad_aliment_moderada_2012,porc_pob_inseguridad_aliment_moderada_2013,porc_pob_inseguridad_aliment_moderada_2014,porc_pob_inseguridad_aliment_moderada_2015,porc_pob_inseguridad_aliment_moderada_2016,porc_pob_inseguridad_aliment_moderada_2017,porc_pob_inseguridad_aliment_moderada_2018,miles_perso_inseguridad_aliment_moderada_2008,miles_perso_inseguridad_aliment_moderada_2009,miles_perso_inseguridad_aliment_moderada_2010,miles_perso_inseguridad_aliment_moderada_2011,miles_perso_inseguridad_aliment_moderada_2012,miles_perso_inseguridad_aliment_moderada_2013,miles_perso_inseguridad_aliment_moderada_2014,miles_perso_inseguridad_aliment_moderada_2015,miles_perso_inseguridad_aliment_moderada_2016,miles_perso_inseguridad_aliment_moderada_2017,miles_perso_inseguridad_aliment_moderada_2018,porc_pob_inseguridad_aliment_severa_2008,porc_pob_inseguridad_aliment_severa_2009,porc_pob_inseguridad_aliment_severa_2010,porc_pob_inseguridad_aliment_severa_2011,porc_pob_inseguridad_aliment_severa_2012,porc_pob_inseguridad_aliment_severa_2013,porc_pob_inseguridad_aliment_severa_2014,porc_pob_inseguridad_aliment_severa_2015,porc_pob_inseguridad_aliment_severa_2016,porc_pob_inseguridad_aliment_severa_2017,porc_pob_inseguridad_aliment_severa_2018,miles_perso_inseguridad_aliment_severa_2008,miles_perso_inseguridad_aliment_severa_2009,miles_perso_inseguridad_aliment_severa_2010,miles_perso_inseguridad_aliment_severa_2011,miles_perso_inseguridad_aliment_severa_2012,miles_perso_inseguridad_aliment_severa_2013,miles_perso_inseguridad_aliment_severa_2014,miles_perso_inseguridad_aliment_severa_2015,miles_perso_inseguridad_aliment_severa_2016,miles_perso_inseguridad_aliment_severa_2017,miles_perso_inseguridad_aliment_severa_2018
21,Puebla,37.9,41.95,46.0,45.05,44.1,47.0,49.9,53.5,57.1,57.0,56.9,2177.21,2442.835,2708.46,2679.145,2649.83,2855.565,3061.3,3322.78,3584.26,3608.405,3632.55,35.0,30.7,26.4,26.1,25.8,26.0,26.2,24.5,22.8,22.55,22.3,2009.53,1780.945,1552.36,1552.255,1552.15,1580.915,1609.68,1518.565,1427.45,1425.795,1424.14,16.7,16.5,16.3,17.55,18.8,16.5,14.2,13.2,12.2,12.399999999999999,12.6,961.35,959.075,956.8,1042.6100000000001,1128.42,1001.05,873.68,820.55,767.42,787.29,807.16,10.3,10.8,11.3,11.350000000000001,11.4,10.5,9.6,8.75,7.9,8.05,8.2,592.47,628.29,664.11,674.53,684.95,637.235,589.52,541.295,493.07,508.655,524.24
22,Queretaro,60.3,58.75,57.2,58.05,58.9,62.8,66.7,66.85,67.0,69.2,71.4,1077.63,1068.145,1058.66,1093.585,1128.51,1223.125,1317.74,1343.415,1369.09,1433.76,1498.43,21.7,21.65,21.6,21.450000000000003,21.3,19.450000000000003,17.6,18.6,19.6,17.200000000000003,14.8,388.57,394.13,399.69,403.55,407.41,377.47,347.53,373.965,400.4,355.345,310.29,11.2,12.3,13.4,13.3,13.2,11.6,10.0,9.4,8.8,8.9,9.0,200.96,224.865,248.77,250.49,252.21,225.25,198.29,188.685,179.08,184.055,189.03,6.7,7.25,7.8,7.25,6.7,6.2,5.7,5.15,4.6,4.75,4.9,119.44,132.25,145.06,136.615,128.17,120.85,113.53,103.84,94.15,98.2,102.25
23,Quintana Roo,70.9,64.30000000000001,57.7,58.5,59.3,59.75,60.2,62.300000000000004,64.4,64.75,65.1,901.51,844.115,786.72,824.175,861.63,895.06,928.49,990.38,1052.27,1086.65,1121.03,14.3,17.35,20.4,21.2,22.0,19.25,16.5,17.85,19.2,18.1,17.0,181.76,230.13,278.5,299.265,320.03,287.27,254.51,283.71500000000003,312.92,302.875,292.83,9.3,11.15,13.0,11.35,9.7,10.649999999999999,11.6,10.75,9.9,9.95,10.0,117.94,147.26,176.58,158.445,140.31,159.18,178.05,169.87,161.69,166.85500000000002,172.02,5.5,7.15,8.8,8.9,9.0,10.35,11.7,9.1,6.5,7.2,7.9,69.57,95.03999999999999,120.51,125.28999999999999,130.07,155.11,180.15,143.08,106.01,121.35499999999999,136.7
24,San Luis Potosi,50.4,49.65,48.9,52.349999999999994,55.8,57.05,58.3,58.849999999999994,59.4,62.05,64.7,1290.97,1287.29,1283.61,1389.815,1496.02,1542.675,1589.33,1621.725,1654.12,1742.8049999999998,1831.49,26.2,23.6,21.0,20.25,19.5,19.75,20.0,20.25,20.5,19.45,18.4,671.7,611.485,551.27,536.585,521.9,533.9,545.9,558.4,570.9,545.605,520.31,12.5,13.45,14.4,13.5,12.6,12.25,11.9,11.75,11.6,10.85,10.1,320.52,349.075,377.63,357.23,336.83,329.96,323.09,323.445,323.8,304.945,286.09,10.8,13.25,15.7,13.899999999999999,12.1,10.95,9.8,9.15,8.5,7.65,6.8,277.77,344.92999999999995,412.09,368.55999999999995,325.03,295.945,266.86,251.5,236.14,215.05,193.96
25,Sinaloa,49.4,52.45,55.5,56.35,57.2,54.45,51.7,54.900000000000006,58.1,55.95,53.8,1380.34,1483.87,1587.4,1625.885,1664.37,1598.585,1532.8,1643.72,1754.64,1701.65,1648.66,27.9,23.95,20.0,18.5,17.0,17.85,18.7,18.9,19.1,20.4,21.7,779.38,675.275,571.17,532.4449999999999,493.72,523.385,553.05,564.9849999999999,576.92,621.355,665.79,12.6,13.2,13.8,13.05,12.3,13.8,15.3,13.65,12.0,12.9,13.8,353.63,373.84000000000003,394.05,375.985,357.92,405.83500000000004,453.75,408.185,362.62,392.38,422.14,10.1,10.399999999999999,10.7,12.149999999999999,13.6,13.95,14.3,12.5,10.7,10.75,10.8,282.32,294.745,307.17,351.13,395.09,409.945,424.8,374.21500000000003,323.63,326.74,329.85
26,Sonora,61.7,59.55,57.4,56.5,55.6,56.75,57.9,60.599999999999994,63.3,63.099999999999994,62.9,1632.45,1599.525,1566.6,1566.77,1566.94,1623.25,1679.56,1784.09,1888.62,1906.9699999999998,1925.32,17.0,16.9,16.8,17.6,18.4,17.85,17.3,16.5,15.7,15.649999999999999,15.6,449.99,454.83000000000004,459.67,489.59000000000003,519.51,510.385,501.26,485.485,469.71,473.525,477.34,8.2,9.399999999999999,10.6,11.6,12.6,13.1,13.6,12.149999999999999,10.7,11.25,11.8,217.11,252.805,288.5,321.6,354.7,374.1,393.5,355.76,318.02,339.015,360.01,13.0,14.1,15.2,14.3,13.4,12.350000000000001,11.3,10.8,10.3,10.05,9.8,344.28,380.03999999999996,415.8,397.525,379.25,353.645,328.04,317.8,307.56,303.43,299.3
27,Tabasco,43.3,47.15,51.0,49.9,48.8,45.099999999999994,41.4,37.75,34.1,34.25,34.4,956.04,1054.92,1153.8,1141.62,1129.44,1052.78,976.12,899.855,823.59,835.0,846.41,22.2,18.95,15.7,16.7,17.7,15.649999999999999,13.6,17.1,20.6,19.700000000000003,18.8,490.46,422.57,354.68,382.505,410.33,365.75,321.17,409.475,497.78,480.59,463.4,14.1,14.8,15.5,16.0,16.5,19.2,21.9,21.65,21.4,21.95,22.5,312.21,331.13,350.05,365.89,381.73,449.16,516.59,516.365,516.14,535.085,554.03,20.3,19.05,17.8,17.35,16.9,20.0,23.1,23.5,23.9,24.1,24.3,448.5,426.06,403.62,397.635,391.65,468.81,545.97,561.75,577.53,587.285,597.04
28,Tamaulipas,68.4,70.6,72.8,68.4,64.0,65.55,67.1,63.75,60.4,64.65,68.9,2219.74,2325.625,2431.51,2312.655,2193.8,2273.395,2352.99,2262.66,2172.33,2351.035,2529.74,19.8,16.7,13.6,15.25,16.9,15.149999999999999,13.4,16.85,20.3,17.35,14.4,641.53,548.4549999999999,455.38,517.03,578.68,525.045,471.41,601.12,730.83,629.48,528.13,6.0,6.65,7.3,8.75,10.2,10.7,11.2,11.95,12.7,11.3,9.9,195.74,219.385,243.03,296.09,349.15,371.155,393.16,424.08000000000004,455.0,408.95500000000004,362.91,5.8,6.05,6.3,7.65,9.0,8.65,8.3,7.45,6.6,6.75,6.9,186.74,199.345,211.95,260.025,308.1,299.73,291.36,264.09000000000003,236.82,244.19,251.56
29,Tlaxcala,39.0,46.75,54.5,50.75,47.0,50.55,54.1,54.55,55.0,56.3,57.6,450.64,550.425,650.21,614.425,578.64,631.2950000000001,683.95,699.405,714.86,741.5250000000001,768.19,36.2,28.75,21.3,22.9,24.5,23.2,21.9,22.4,22.9,22.549999999999997,22.2,417.45,335.725,254.0,277.97,301.94,289.495,277.05,287.405,297.76,297.13,296.5,15.8,15.0,14.2,15.25,16.3,15.15,14.0,13.9,13.8,13.3,12.8,182.63,176.2,169.77,184.91000000000003,200.05,188.66500000000002,177.28,178.575,179.87,175.39499999999998,170.92,9.0,9.45,9.9,11.0,12.1,11.05,10.0,9.15,8.3,7.8500000000000005,7.4,103.65,110.875,118.1,133.70999999999998,149.32,137.76999999999998,126.22,117.28999999999999,108.36,103.775,99.19
30,Veracruz,45.3,49.55,53.8,49.849999999999994,45.9,44.95,44.0,47.8,51.6,48.3,45.0,3432.65,3793.3999999999996,4154.15,3882.3199999999997,3610.49,3563.56,3516.63,3854.025,4191.42,3947.66,3703.9,29.1,24.6,20.1,23.0,25.9,25.95,26.0,26.1,26.2,27.15,28.1,2206.14,1879.9899999999998,1553.84,1795.945,2038.05,2057.105,2076.16,2101.895,2127.63,2219.06,2310.49,15.2,14.649999999999999,14.1,15.350000000000001,16.6,17.0,17.4,15.0,12.6,14.2,15.8,1150.74,1119.865,1088.99,1197.665,1306.34,1349.145,1391.95,1209.135,1026.32,1162.5749999999998,1298.83,10.4,11.2,12.0,11.8,11.6,12.1,12.6,11.1,9.6,10.399999999999999,11.2,788.01,857.99,927.97,920.265,912.56,958.5899999999999,1004.62,891.325,778.03,850.77,923.51
31,Yucatan,64.0,60.85,57.7,54.75,51.8,57.3,62.8,61.75,60.7,60.5,60.3,1234.2,1189.73,1145.26,1100.915,1056.57,1184.4,1312.23,1309.73,1307.23,1318.995,1330.76,19.8,20.35,20.9,22.0,23.1,20.950000000000003,18.8,19.4,20.0,20.15,20.3,381.31,397.725,414.14,442.85,471.56,432.22,392.88,412.105,431.33,439.735,448.14,11.4,12.850000000000001,14.3,14.8,15.3,13.600000000000001,11.9,12.25,12.6,12.85,13.1,218.94,250.94,282.94,297.195,311.45,279.9,248.35,260.13,271.91,280.5,289.09,4.9,6.0,7.1,8.45,9.8,8.15,6.5,6.6,6.7,6.5,6.3,94.24,117.81,141.38,171.10500000000002,200.83,168.15,135.47,139.435,143.4,141.28,139.16
32,Zacatecas,44.0,49.3,54.6,55.55,56.5,61.3,66.1,66.0,65.9,64.65,63.4,651.12,738.565,826.01,848.155,870.3,952.375,1034.45,1042.2,1049.95,1037.305,1024.66,36.3,28.4,20.5,20.85,21.2,19.15,17.1,18.05,19.0,19.45,19.9,538.11,424.225,310.34,318.67999999999995,327.02,297.53499999999997,268.05,285.255,302.46,312.09000000000003,321.72,13.1,12.899999999999999,12.7,12.7,12.7,10.649999999999999,8.6,8.6,8.6,9.25,9.9,193.69,192.805,191.92,193.69,195.46,165.24,135.02,136.27,137.52,148.85000000000002,160.18,6.6,9.399999999999999,12.2,10.899999999999999,9.6,8.899999999999999,8.2,7.3,6.4,6.550000000000001,6.7,97.68,141.17000000000002,184.66,166.51999999999998,148.38,138.485,128.59,115.465,102.34,105.41499999999999,108.49
