estado_1,anio,porc_pob_seguridad_aliment,miles_perso_seguridad_aliment,porc_pob_inseguridad_aliment_leve,miles_perso_inseguridad_aliment_leve,porc_pob_inseguridad_aliment_moderada,miles_perso_inseguridad_aliment_moderada,porc_pob_inseguridad_aliment_severa,miles_perso_inseguridad_aliment_severa
aguascalientes,2018,72.300,970.360,14.700,197.850,7.400,99.580,5.600,74.790
baja_california,2018,74.900,2731.070,11.000,400.890,7.900,287.510,6.300,228.650
baja_california_sur,2018,66.500,558.290,15.700,131.570,10.300,86.640,7.500,63.180
campeche,2018,52.000,495.230,20.600,195.710,16.000,152.140,11.500,109.200
coahuila,2018,67.700,2080.290,14.000,431.790,10.200,312.140,8.100,249.300
colima,2018,62.000,473.590,16.300,124.670,12.700,96.840,8.900,68.200
chiapas,2018,47.800,2612.510,29.800,1630.150,14.600,796.130,7.800,424.560
chihuahua,2018,68.600,2627.100,13.700,522.400,9.400,358.370,8.300,319.000
ciudad_de_mexico,2018,73.300,6439.370,12.800,1123.930,9.500,832.950,4.400,385.070
durango,2018,66.600,1211.740,14.700,267.310,11.000,199.710,7.800,141.990
guanajuato,2018,62.500,3728.580,16.800,1002.150,12.000,714.330,8.700,519.910
guerrero,2018,36.300,1318.690,28.100,1020.020,20.500,743.130,15.100,547.200
hidalgo,2018,53.800,1607.300,23.500,703.220,14.400,430.320,8.300,249.450
jalisco,2018,69.900,5743.650,15.000,1236.680,9.000,737.590,6.100,504.780
mexico,2018,60.100,10620.700,20.000,3540.240,11.800,2088.490,8.000,1417.350
michoacan,2018,57.400,2693.270,21.600,1013.260,13.000,609.380,8.100,379.370
morelos,2018,53.700,1070.890,21.700,432.850,15.500,309.720,9.100,180.670
nayarit,2018,63.300,821.260,17.800,230.520,10.600,137.080,8.300,108.100
nuevo_leon,2018,75.000,3989.450,12.800,682.950,6.700,358.910,5.400,289.990
oaxaca,2018,42.600,1744.010,29.500,1205.150,16.500,675.440,11.400,466.790
puebla,2018,56.900,3632.550,22.300,1424.140,12.600,807.160,8.200,524.240
queretaro,2018,71.400,1498.430,14.800,310.290,9.000,189.030,4.900,102.250
quintana_roo,2018,65.100,1121.030,17.000,292.830,10.000,172.020,7.900,136.700
san_luis_potosi,2018,64.700,1831.490,18.400,520.310,10.100,286.090,6.800,193.960
sinaloa,2018,53.800,1648.660,21.700,665.790,13.800,422.140,10.800,329.850
sonora,2018,62.900,1925.320,15.600,477.340,11.800,360.010,9.800,299.300
tabasco,2018,34.400,846.410,18.800,463.400,22.500,554.030,24.300,597.040
tamaulipas,2018,68.900,2529.740,14.400,528.130,9.900,362.910,6.900,251.560
tlaxcala,2018,57.600,768.190,22.200,296.500,12.800,170.920,7.400,99.190
veracruz,2018,45.000,3703.900,28.100,2310.490,15.800,1298.830,11.200,923.510
yucatan,2018,60.300,1330.760,20.300,448.140,13.100,289.090,6.300,139.160
zacatecas,2018,63.400,1024.660,19.900,321.720,9.900,160.180,6.700,108.490
